,User ID,Username,Title,Stars,Date,Review
0,1,uofa123,great app,4,2020-09-19 20:59:19,very convenient app for knowing the exposures you have been around but i wish they would not have gotten rid of the exposure details. They should re-add the window where you can see the exposure lengthens as well as the risk level .
1,2,stellarays,Needs Improvement,3,2020-09-03 03:32:37,"I love the concept of this app, but I don’t think it was ready for release. To begin with, it is very unclear what the risk level ranking is out of (10?), as well as what that actually means. Each time I have been exposed it’s been ranked as a “6” with no further information. That seems like a high risk level, and yet no suggestions for next steps were made available as promised. Is 6 actually quite low? Friends who have had the same exposure times have much lower risk levels. Why is mine so high? 
Additionally, the notifications are very confusing. I got a notification on Sunday (8/31) that I had had no exposures during the week. Then on Monday night (9/1) I got an alert that I had been exposed... on 8/27 and 8/28. Today I got another notification for an exposure on 8/28. I am wary of these alerts because they all look exactly the same (risk level and time exposed). Are they accurate? Is it a bug? The time exposed seems inaccurate as well. For all three of my “exposures” the times are listed as: “0min, 0min, 3min, 0min” in that exact order. My friends have the same for different supposed exposures on different dates. This app needs more information and more clarity."
2,3,MA fan,Can’t report; confusing setup,1,2020-12-09 11:08:36,"First of all, I had no idea AZ had this - have never heard a peep about it, and the last time I checked, AZ was not on the list. I discovered it when I was poking around the exposure notification settings on my phone. Without participants, this isn’t very useful, so AZ should be talking this up every opportunity! Including having the governor mention it in his pressers, as well as other leaders like school superintendents.

Second, setup was confusing. The Settings app says my region (Arizona) has an app and directs me to a list of apps on the App Store, where this one is *not* included. I had to find it by doing a general search, and then it doesn’t say explicitly in the description that it relies on the Apple/Google system, which I wanted to be sure because otherwise I likely wouldn’t use it for privacy reasons. I couldn’t confirm it until I got it installed and saw the integration. Get the app properly listed on the App Store list, and make the Apple connection clear in the app description. 

Finally, I can’t tell the app that there’s been a positive diagnosis. Fortunately, I don’t need to, but without that, the value is significantly reduced. Why is this not included? And who in my area (Phoenix/Scottsdale) can report? Anyone?"
3,4,bgallup,Please bring back the exposure details - Update: I’m not sure it really works.,2,2020-09-25 15:18:19,"Update: My roommate has tested positive for COVID-19 since my original review. We both have the app downloaded, and being able to look at the possible exposure details was what prompted her to get tested. She reported to the app that she tested positive 3 days ago, but I have yet to receive a possible, much less significant exposure notification. 3 days before her positive result, her and I were sitting probably 4 feet apart watching a movie and both had our phones with us. Just with that much, I should have received a significant exposure notification. I really am questioning if this app works. I’ll leave it on my phone as it doesn’t take up much space, but I won’t be relying it on it’s accuracy. 

Original Review: With this most recent update, they have removed the exposure details for possible exposures, and it’s very frustrating. Please bring this back."
4,5,WILMAWILDCAT,Unknown,3,2020-09-19 16:05:57,"Can’t tell anything once you get notified. It’s gives you a fake phone number to call to get a test. I am getting notifications alerts but when I go to app it shows nothing... two days in a row. This app is frustrating.

I have over 10 exposures and would like to know why I keep getting exposed when I talk to no one? Is it from Driving around?"
5,6,Skyscan305,A huge failure when it was needed most,1,2020-12-11 01:08:57,"I have had this app on my phone for months, and fully believe in contact tracing.  However, between not enough people using the app for it to matter, and the app failing when needed most (I was attempting to input a positive test that I just received), this app is useless.  I work as a first responder, and I have seen what happens when infrastructure falls apart like this poorly-maintained app.  I will be sharing my opinions with the Arizona Department of Health Services."
6,7,UsedatUA,"Great concept, but still some bugs to work out",3,2020-10-03 05:10:08,"I love it, and am so thankful for the app. Still seems like there are some bugs to flush out. I get a fair amount of push notifications for possible exposures without any significant exposures or possible exposures listed in the app itself. It would also be helpful to know the physical distances used for attenuation risk."
7,8,dib and dip,Needs to be updated,3,2020-09-17 07:00:17,"This app is great for discovering if you’ve been exposed and when. However, it does not explain the risk level number they give you, which is incredibly confusing. I would like to know if that number is referring to time interval of exposure, distance, or level out of 10 or 20 or whatever."
8,9,Jon Silvestri,New update weird,3,2020-09-22 10:05:21,"I can’t see the details of exposures anymore after the new update. Also it’s super unclear what the exposure levels mean. Like a 6 seems high, but is that out of 10? 20? 100?"
9,10,MJV92314,Appreciate the Anonymity!,5,2020-08-20 16:22:06,I’m glad there is an app that does exposure notification that is anonymous! I work at UArizona and am happy that this app is available to us. Intuitive to use and easy to navigate.
