,User ID,Username,Title,Stars,Date,Review
0,1,hunnyybea,"Glad to have it, hope for a few more features",4,2020-10-30 16:31:35,"Very grateful to have this available and i hope many more download/use this for contact tracing in our state. Well done on making this easy for us!

That said i do agree with other users that i wished it had more info. You cant zoom on the “total cases” graphs which makes them very hard to view. 

It would be much more helpful to have a tracker of New Cases from the last 24-48 hours instead of the “totals” since april so that we can better see where we currently stand and the graph isnt totally skewed from the spike in april when testing finally started."
1,2,R5A9,Exposure Alert can’t work if county health departments don’t have the info to provide,2,2020-11-13 13:02:15,"Sadly the app has been available for over a month and there are less than 330k downloads.

To make matter worse, the exposure alert feature is a complete waste. I tested positive this week (test Monday, results from lab Wednesday morning, finally contacted by Ocean County Health Department Thursday afternoon). When I asked the OCHD person that called about the tracking number to enter into the app she had no idea what I was talking about yet claims to have been doing Ocean County contact tracing since March. She said she’d make a call and get back to me. I thought that may have meant same day, but it’s now Friday and no call back. 

I wanted this app to work . I’ve had it installed since early October when there were less than 100k users, but in a state with 9 million people to have less than 330K download it and for county health departments to have no clue (or the information to provide)  a month after release, this is not going to help reduce the number of cases in the state."
2,3,E3478,17+ rating a bit surprising,4,2020-11-14 18:17:02,"This app has been useful, but I was surprised that when I downloaded it to my child’s phone, the app said my child was too young to participate. I downloaded it because they are going to resume limited in-person instructionat school, and this app seemed like something they should have. I’d be interested to hear why those under 17 cannot participate."
3,4,Tkim66,Take it up a notch,4,2020-10-29 14:05:44,This app would be even better if a user is alerted in real time if they are in close proximity of someone who is positive that isn’t quarantined. Maybe that would be too “big brother is watching” concept but it would be more useful than being alerted after the fact.
4,5,Raviss1,Great app needed badly,5,2020-10-04 11:50:06,"The app has a minor installation issue, it gave an error 1002 message. Contacted support and they replied within 2 hrs and told me to turn off WiFi. It won’t install if you are on WiFi. Turned off WiFi and it installed.  The problem is only with Verizon. 
It is easy to use and understand."
5,6,Jdnj828,Covid alert is useless,1,2020-12-13 14:35:21,"When receiving an alert that my “phone” was in the vicinity of another “phone” where the owner has tested positive, no other details are given. When was the contact? Where was the contact? How long did it last? All of this is needed to make a proper self- assessment of my own risk. If I walked past someone at the grocery store who later tested positive, I’m not quarantining for 14 days. This app just feeds into panic and unnecessary worry. I agree that contact tracing is needed, but it has to be based on scientific rationale."
6,7,cssc119,Love the app make it social,5,2020-11-24 05:20:18,"Hey can we send some encouraging words or send money to those in need or alerts on where they can find food? Set up food delivery. I think if we make it more social and interactive (with a nonFacebook algorithm, positive vibes only) it can be a community builder! Like the Ring app but for for the Rona."
7,8,JackSher,Error,4,2020-10-07 22:54:44,"Initially I received an error every time I tried to install it. However, I was contacted by the developer, and they explained that you need to turn off Wi-Fi when you install it. That definitely is a bug, but they are trying to fix it. Once installed, it works great."
8,9,iPodX7,Not the best but hopeful that it’ll improve,5,2020-10-07 02:08:01,People like to run to hit that one star on apps like it’s the only update they’ll do on any app. It’s ridiculous. And although this app needs more improvements I’m sure it’ll get there. I’m just glad they got something going on.
9,10,Cory Monteleone,Well Implemented and Clear,5,2020-10-03 01:38:45,"Aside from wanting the ability to get daily reminders to do the wellness screening, the app is simple, clean, and concise. I'm pretty proud of my State's ability to grasp technology and make things that make life better. Thank you and stay safe."
