,User ID,Username,Title,Stars,Date,Review
0,1,Bill1492,"I am a careful PhD computer scientist, and just installed it!",5,2020-10-01 23:58:00,"Recently, I went to a virtual conference, that included talks on coved tracking phone applications, and found this well thought out, safe to use without leak of date to advertising or personal privacy violated by tracking your every move. It uses blue tooth to make brief connection to people you are in blue tooth range, and sends encrypted messages to a secure server.  Should you, or someone else, contract COVID, the case will be asked if their phone blue tooth contacts can be notified.  If so they are send encrypted messages, suggesting you get tested and monitor your self.  It really only works if enough people install it that new cases can mostly automatically get contacts, even people on a cross town bus you don’t know notified.  I installed it for you, I hope you will install it for me!"
1,2,QualityPlease,Impressed with this app,5,2020-10-02 01:52:15,"It took just a couple of minutes to set up the app and the directions and information was very nicely presented. Privacy is fully protected. Nobody gets your name if you get an alert, so it’s just up to you to use it and get tested. Perfect for privacy paranoid New Yorkers. Also has nice daily data on number of cases. Hope enough people use it to have some effect."
2,3,Armygurl1997,The only down side I see,4,2020-10-26 16:46:02,I Live in Poconos in PA and you would be surprised how many families from NY and NJ I see getting out of cars to go into the stores in this area before hitting the hotels and ski or water park areas. Some have summer houses here and come up over the summer and hunt in the winter. If these apps were all contented with even CT I would say we have a bit better app here. You would be surprised how many PA residents get on busses in the morning to go to NYC jobs and drive to jobs in NJ. Wouldn’t you feel better if you knew the hillbillies and hippies of PA were “Safe”. When I worked in NYC I know I would. How’s my PA app going to interface with yours. This should have been a National App. I love near an interstate that goes from NYC to SF. It’s just a pipe line. Your stuff comes from somewhere.
3,4,Beckadermis,Won’t finish set up,1,2020-10-01 19:18:16,"I would love to contribute to this tracking app to keep us all safe—especially because I live in one current hot spot and work in another. Unfortunately, it won’t finish the set up. It gets stuck in a continuous pop up window that says “Sorry, please try again. Check that you have a network connection.” I’m currently on WiFi, have 5 bars on my cell connection and have location services turned on, so I don’t know any way to provide more network than that. 
There’s also no real app developer support. Links from the App Store or from the app just take you to the general info page of NYSDOH. 
So...good luck everyone. 🤷🏻‍♀️"
4,5,TimAnderson27,Just Moved to NYC,5,2020-10-04 00:30:57,"I just moved to NYC and was super scared about getting Covid. This app, if enough people download it, will be able to accurately tell me if I’ve been by someone who tested positive. That way I can quarantine and make sure I don’t hurt the people I love.

This app uses Apple and Googles PRIVATE framework and I am sure they have done everything in their power to make sure it doesn’t store any of my sensitive material."
5,6,flipper1378,Private and no fuss,5,2020-10-02 18:31:42,"This app does not collect location data. It is well thought-out and provides a good overview of relevant COVID-19 information in addition to helping you know if you’ve been near someone who has recently tested positive. The more people who install this and enable Exposure Notifications, the better these notifications will work."
6,7,Logamos,"Good app, uses the Exposure framework",5,2020-10-02 01:54:50,"It’s months late… but I’m very glad that the NYS app at least uses the Apple & Google collab framework. This won’t wear down your battery or leak any personal medical or location data. 

Keep safe. Keep your community safe. Download this now.

BUG REPORT: App doesn’t respect the bottom Safe Area. You can even see the problem in the App Store screenshots."
7,8,Starafish,Easy to read,5,2020-11-08 05:05:07,"My county has the most confusing Covid statistics. Their website is very concerned with how many people have recovered which is GREAT but I’m also looking for the same metric everyone else uses, how many new cases a day. This app gives me this info. I hope more people will download it so that we have an anonymous alert system."
8,9,Insert Your Nickname Here Please,Great and lifesaving tool,5,2020-10-01 20:37:16,"This app is easy to use and goes beyond its primary purpose of contact tracing /exposure notifications, also including a symptom log and the most up-to-date data on Covid infection rates and cases in NYS or by county. There’s a great demo explaining how the technology works (Bluetooth!). I hope many people download it, as it has the potential to literally save lives."
9,10,Tomak00,Simple and Safe,5,2020-10-02 12:14:24,Very simple app that will make me feel a little safer. Doesn’t ask you for any personal information and serves just to warn of any possible exposure so you can keep your family safe or make you go get tested if you’ve been possibly exposed. Everyone should have this so we can breathe a little easier.
