,User ID,Username,Title,Stars,Date,Review
0,1,Evereddie60,"Good app, wealth of info, one flaw",4,2020-12-27 16:06:56,"This is an excellent app overall. Data breakdowns and trends. The only flaw is that it appears the only users are the ones taking this seriously and be cautious. The “how are you feeling today” rates have never changed % wise where actual state numbers in the app vary. Still a good app, shame not everyone uses it. It could be amazingly helpful."
1,2,Dave954,"Horrible, horrible, AWFUL app!",1,2020-09-23 15:42:47,"When I opened the app initially, it was fine. It had a nice look and it was requesting information as I would expect any app to do. Then, my phone started getting incredibly hot, like too hot to handle comfortably and I have a silicone case!

Okay, so I set the phone down and continued to use the app because, I figured, what could possibly go wrong when a phone gets 160 degrees, right? Before I finished registering, the app would keep crashing. I tried this several times until the app actually crashed other apps that I had open! I haven’t seen this happen many times before but I went ahead because, hey, maybe it’s just a bad first impression and I should give it at least 15 chances to not fail, right? Onward!

Finally, I registered the application, poked around a bit, my phone still feeling like I imagine a tin roof would feel in Calcutta in the middle of July and exited. This started the long-awaited cooldown period for my phone. Take a breath!

Later this morning, I come back to it and open the app only to find that I have to *re*register. The login that I had created wouldn’t work to get back in and I spent maybe a little less time registering the second time (it always takes longer the first time, doesn’t it?)... aaaaaand my phone’s burning my hands again.

Alright, well... this is where I am with this. I’ll give you more feedback later!"
2,3,MonikaLearnsJapanese,Better late than never,5,2020-09-22 23:08:42,"First day of fall, so, timely. New app - little to report. Easy and fast to install. Easy to use and nice statistics. I trust Apple enough to not worry about tracking more than I already do. I hope that if I do accidentally catch Covid, that this will help alert some of the few strangers I might have been near to and help them to avoid further spread."
3,4,Binford46,Bluetooth tracking is key,5,2020-09-23 10:19:45,"This app, unlike others, uses your Bluetooth sensors to determine if a contact happened vs tracking your location. It's a variant on apps deployed elsewhere around the world, doesn't store where you've been, and can track symptoms and share vital statistics so that all Pennaylvanians can navigate the pandemic a bit better."
4,5,RLEash,Drains my phone’s battery,2,2020-09-28 11:03:13,"I was really looking forward to this app but after having it for only a few days I had to delete it.  It drained my phone battery way too fast.  Even while I’m sleeping at night my battery dropped from 100% charge to 60%.  Normally I only lose 5% or so.  My phone says the draining culprit isn’t the PA Covid app itself but Apple’s built-in “exposure notification” setting that this app utilizes and needs enabled.  

If it weren’t for that, I would have really liked this app!"
5,6,Christina Check,Excited for this app!,5,2020-09-23 01:47:56,"So far, so good. Love that there is an Exposure Alert. I think this is going to be very helpful especially in the upcoming winter months and beyond. Kudus to the developers as I’m sure this app was extremely time consuming to create straight through to beta testing, with likely many iterations along the way to make it user friendly."
6,7,Anahata108,Needs some bugs fixed,4,2020-10-22 13:02:13,"Seems to do what it says but I’ve not gotten any notifications of exposure so 🤷. I do wish it would stop asking me if I want to participate every few days. Sometimes I respond to the daily check in notification and need to say that yes, I do want the thing I configured my phone for. Please stop asking me every few days."
7,8,michael_recinos,Really???!,1,2020-11-25 21:37:44,This app seems like a really useful app and I feel very safe with it and hopefully it does a good job but there is just one striking issue with this app that I don’t get at all. When you go to choose your race on the app (which firstly I don’t get why that has to be a thing but okay) it has all the other races but it seemingly excludes the Hispanic race (which I am) from the entire list which is really weird to me how someone might forget that but alright. It’s just one obvious issue I see so far that really should not be an issue
8,9,iPhone 3G old user,"Needs features of NOVID, but at least it is functional.",4,2020-09-23 18:52:03,"This app will run in the background, but not give you an estimate of how many levels exist between you and someone who tested positive for COVID.

NOVID has better features, but will not run in the background yet.

It is important for greater effectiveness that more people voluntarily use COVID Alert Pennsylvania."
9,10,rffggyy,Daily check in issue,4,2020-09-23 03:33:13,I’ve been having an issue at the daily check in tab. I was only got to check in when I first downloaded the app and when I go to check in for the following days it just says “Thank You” as if I already checked in for the day.
10,11,XnCelt,I like the app so far...Apple Watch,4,2020-11-20 12:16:24,I am impressed with the features and quality of the iPhone app. My Apple Watch un-tethers me from my iPhone so I lose the alert feature of the PA COVID-19 app when I leave my phone at home?  I hope you are working on Apple Watch support with your app. Thank you.
11,12,Awesomepsu22,Does exactly what it’s supposed to and is easy to use.,5,2020-09-23 02:04:37,"I mean really that’s it. Was this needed much sooner? Absolutely. But it’s here and it exceeded my expectations by meeting what they should have been. It’s easy to use, runs well, and the UI is smooth and intuitive."
12,13,JJERC,App does not work with older iPhone versions,1,2021-01-06 00:02:19,"If your going to ask the public to help out and participate in contact tracing then provide an app that will work with earlier versions of IOS software.  Not everyone has a fancy new IPhone and especially in these times when people can’t pay rent and afford groceries, how can they afford to upgrade to a new phone... The people in charge (Levine and Wolf) should be aware of this and push to get it fixed!"
13,14,flushthedon,Didn’t ask any info from me!,5,2020-09-26 00:49:18,No battery drain for me at all. I use Bluetooth all the time. I’m glad this doesn’t track location. I’m downloading to be part of a solution in this pandemic. You should too!
14,15,CelloFingers,Easy,5,2020-12-12 19:55:03,"Easy to use, pops up with a reminder same time every day. No hassle, helps in a big way.

Do I need to leave the app open in the background for the Bluetooth contact alerts?"
15,16,Mac Thaker,The right thing to do!,5,2020-09-24 20:55:24,"App is simple and easy to use. Doing the job it promised. If you are 2nd guessing about privacy, this is more secured than any app out there. So stop guessing and download the app NOW. Put your phone to the fight against COVID19."
16,17,Spauldog,Other states have more helpful Covid apps,3,2020-10-15 13:54:18,"I like the checkin and ability to drill into data for individual counties. 
More work is needed—app shows notifications are off when they are on for the App. 
Not enough detail regarding active cases. 
Cannot expand the graphs, so they are small on a phone and not as useful as they could be."
17,18,mruffalo,"Delay or not, works well",5,2020-09-23 01:24:00,"I don't expect the PA Department of Health to have in-house iOS app development expertise, and I don't mind some delay in vetting a customized third party app. PA is still among the first states to enable this kind of contact tracing, at least according to the App Store, and I'm happy to participate."
18,19,Shakir o,Clearly presented.,5,2020-09-23 00:18:19,"App has up to date stats in current cases, hospitalization and deaths. Easily connects with exposure notifications and doesn’t require an account. Glad that we can leverage the APIs and hope more people continue to adopt it."
19,20,BrushXue,Why is it taking so long to develop such a simple App?,3,2020-09-21 20:13:53,It’s been 6 months since the pandemic outbreak and finally the tracking app is available. Apple developed the API and this app is just a simple shell so I couldn’t understand what is holding up the development? You should know that more lives can be saved if you publish it earlier.
20,21,mayzin1,I like the concept and the service,4,2020-11-18 16:02:05,"But I think there is something wrong with the Statistics that are displayed for each county. I’m reading in other sources that the percentages in most counties in PA are almost 10%, and yet the app shows about 50 counties in PA at 1% or less."
21,22,LaraThomas,"Clear, understandable",4,2020-09-23 18:46:59,"I’d like to see it be able to tell me more specifics but understand that will probably take time to collect the data. So far, I like it. Clean, clear design with lots of info on privacy"
22,23,BBFWBCT,"Easy, useful, and beneficial to the community",5,2020-12-27 17:19:00,"The more people we get using this, the sooner we can get things under control and go back to normal."
23,24,mforinger,Alert ?,3,2020-10-16 22:55:54,My phone had two notifications.  I have no idea if it was for this app. Nothing showed on my phone. And it doesn’t have any history of any alerts. I only assume the tone was for this app because it’s the only app I’ve added.
24,25,Carlosh954,It’s a good start,4,2020-10-19 00:15:29,"This is actually helpful in the fight of COVID , use it be honest when checking in, and please don’t be that guy that think this is a hoax believe me I’ve seen COVID front and center and it’s no joke"
25,26,Zippo517,Up and running,5,2020-09-23 14:30:44,The app loads quickly and looks nice doesn’t seem to take up much battery life.
26,27,johnnydangr,Works perfectly,5,2020-09-23 01:13:41,Exactly what I expected. Focus on privacy so you can provide as much info as you like about yourself. Thanks for developing this.
27,28,jSiu,Yay. Finally.,5,2020-09-22 22:16:12,Been waiting for PA to release their exposure app. There are firms charging $10/mon per user for exposure and contact tracing. So glad that our local government is stepping in to democratize this. Thank you.
