,User ID,Username,Title,Stars,Date,Review
0,1,rebuhsait,great - please make it work across states,5,2020-08-07 10:59:56,"Great that we can use this app to help contact tracing and fight covid. 

It took 5 weeks longer to develop than swisscovid and lacks the nice graphics but otherwise seems to do the job. 

It was a bit of o struggle to make it work since i had swisscovid installed and enabling notifications didn’t work until i deinstalled swisscovid - without getting clear instructions from the installer. Would be great if one app would work everywhere or if at least switching was easy - uninstall and i stall different app may be acceptable for international travel but not for each trip to Maryland or NC."
1,2,Niraj4,Review from Information Security officer,5,2020-10-19 04:30:26,"This is a great app, designed with privacy first in mind. There is no way for anyone to know your information. 

Let your friends and family know and ask them to download the app. It can save their life. The more people download it, the better it becomes. 

I had a colleague receive a notification about possibly being exposed. He went to get tested and sure enough he was positive. He did not have symptoms but he self quarantined and saved his elderly parents from exposure. Download and spread the word! We can fight this virus out together."
2,3,Hope For Virginia,Great App - Hoping For Many VA Users,5,2020-08-13 02:54:03,"The concept and apparent approach to contact tracking via this app will be great if Virginia can advertise to the state and get many people to use the app. Maybe VA can pass out a flyer with info on the app when someone gets tested for COVID-19. 

It was easy to install and setup. 

Would be great if there was a status indicator or counters that show that it is actually working. Maybe a status page with a counter showing past encounters with other app users or date and time when another user was nearby,"
3,4,Specopsguy!,Finally doing something,5,2020-08-06 17:53:34,"I am glad to see this tracing/tracking App to help fight the pandemic. It was a fast download and will be great in tracking transmissions and COVID-19 exposures. My entire family have downloaded it to help keep us safe. Like not wearing a mask, we stay completely away from folks that don’t have this App as you have no way to know where or with whom they have interacted. Pending a vaccine, this is useful to keep everybody safe. If concerns arise later, one can always delete the App or scrub the phone."
4,5,britney.phoi,PLEASE DOWNLOAD,5,2020-08-06 01:31:27,Your privacy is protected. This doesn’t use your location and you can read all about your concerns in the FAQ on the VHD website about it. It’s a safe app and needs more users for it to be as effective as it can be!! Some may argue that it needs to have more info about COVID hotspots but this is certainly better than nothing and will hopefully have updated soon. And it does NOT drain your battery. Please download this and be a team player
5,6,fasttrak7,Fix the notifications,1,2020-08-19 23:29:08,"I keep Bluetooth turned off when at home, only turn it on when I leave the house. Both for security, as well as battery saving. This app is CONSTANTLY bugging me to turn on Bluetooth - about once every hour or two. As if that’s not annoying enough, the app even bugs me IN THE MIDDLE OF THE NIGHT!! Really?! If you want to remind me once, in case I really did forget to turn on Bluetooth, then fine. But any more than that, and it’s a real nuisance. And this nonsense with being repeatedly woken up in the middle of the night - every night - reminding me to turn on Bluetooth...I’m over it. Deleting the app; if you fix the notification issue, I’ll consider reinstalling."
6,7,angelpjela,Can’t Tell if App Works,2,2020-08-27 21:52:22,"Have had the app for a couple of weeks with no alerts, and there is no way to tell if the app is working. Some reviewers mentioned a weekly text saying that they had no exposure in the previous week, but I have not received any such report. I am not sure this app will be useful if it relies completely on exposed or infected people to self-report. At the very least users should be able to click somewhere to learn how many new exposures were added daily and how many exposure notifications the app has made. So that way we would have at least some notion that it’s working."
7,8,23 woud,App,5,2020-08-06 12:47:37,"A lot of people scared of change, we have moved into the technical aspects of life . Video schooling,video doctors appointments mobile banking. Now this , a app that will help you track a deadly disease and people don’t want to use it . This  app should have been downloaded 100,000 time this morning to keep all of us safe. If used correctly we can get back to a somewhat normal life and who does not want that ."
8,9,Herbiecat,Does NOT work!,1,2020-12-07 18:57:43,"This app is very poorly designed & does not work! I recently found out that I came in contact with several people who were positive with COVID-19 & not once was I alerted! I am now fighting COVID-19 from exposure to one of those people I came in contact with. 
Also, it doesn’t even work when you want to report your own case of exposure to Covid-19!! I have tried over & over to enter the PIN number given to me by a Health Dept case worker & the COVIDWISE app keeps saying to re-enter because I have entered PIN number incorrectly!! 
Instead of wasting taxpayers money on this worthless app how about use the money to help those fighting the virus & unable to work while sick!"
9,10,'zeh,Not bad,5,2020-08-05 19:46:27,"There’s not much to the app, including ads. Having said that, I don’t think it’s supposed to have much. It does exactly what it says it’s supposed to do, without ads. 
It doesn’t ask for any permissions (except notifications, of course!). It doesn’t ask for personal information. There’s not much to it (in the way of interactions). 
Oh, did I mention that there aren’t any ads? 
Five stars. Thanks."
10,11,manyamile,I appreciate the privacy first model,5,2020-08-05 18:40:35,"I’m not one to install an app like this due to privacy concerns but after reading through the methods used for generating tokens and what data is and isn’t collected, I’m on board. There’s a great article out by MIT challenging the 60% app adoption rate myth and it shows how every user adds value to the system. As long as the app continues to value my privacy, I’ll gladly let it run on my phone."
11,12,doogietunes,Pat on the back for VDH,5,2020-08-05 16:38:21,"This app is simple, lightweight, respectful of privacy (thanks to the clever decentralized Apple/Google API it’s built on), and plainly worded about what it does. I will be encouraging everyone I know in the commonwealth to install this app and turn it on.

Thank you to VDH for demonstrating leadership, making Virginia the first state in the union to use this technology. Like mask wearing, this tech is no magic bullet, but from what I can see it will certainly help."
12,13,22622482,Confusing...,2,2020-08-20 12:37:22,"Received a (push?) notification in late evening saying I may have had a potential exposure. This notification even included a Bluetooth data listing for a number of hours previous (though did not appear to indicate when this alleged exposure occurred). In trying to look at this notification more thoroughly in the app, the notification was not in there. Furthermore, the “Exposure” section, indicates I have not had an exposure. So, why did I receive this (alarming) late night notice which disappeared? Did I have an exposure or not?"
13,14,mic.overtone,I feel safe using this,5,2020-08-06 00:03:07,"We give our privacy away for the sake of convenience everyday, and this app doesn't even ask for that. 

Only permissions that I was required to OK were notifications and contact tracing. No location services, no motion information, not even my name. You download the app, press OK twice, and you're done. No setup, no room for exploitation."
14,15,RockGardener,No unexpected permissions requests,5,2020-08-05 22:04:46,"It’s too soon to know how well it works, but they got the most important part right! 

During install iOS only prompts for two approvals as expected; “Enable COVID-19 Exposure Logging and Notifications” and “ ‘COVIDWISE’ Would Like To Send You Notifications” 

This app appears to do what it says it does and nothing more, leaving my privacy intact."
15,16,Syboney409,Great app!  Everyone in the Washington area should use it!,5,2020-11-10 16:07:59,This app does a great job of maintaining personal data privacy and at the same time helps to do contact tracing and early warning of possible contagion.  I just hope people are given incentives to install it on their phones since the more the merrier!!!
16,17,Bokamba,Battery drain issue resolved?,4,2020-12-23 06:48:12,"The app drained 25% of my battery over 24 hours, according to iOS, even though I spent almost that entire period at home and did not go to any crowded places. Deleting and reinstalling the app may have fixed the battery drain, though that meant losing the potential contact information stored prior to that point."
17,18,TheEricZ,Needs more data,2,2020-09-08 03:40:02,"I am a data guy, so naturally I would like to see more data. This App doesn’t show anything until maybe when you are positive or in close contact with someone who is tested positive.

This makes using the app not “rewarding” at all! Can’t we just show a few interesting metrics such as how many encounters you have each day? I am in VA, yet I don’t know how many people have the app, and in a normal grocery shopping how many possible encounters that I can have."
18,19,Safe-at-home,Anything to do MY part,5,2020-08-05 18:45:45,"Watching Gov Northam now and gladly sign up for COVIDWISE.  For so long I’ve stayed heathy by quarantine at home, safe distancing, and wearing my masks out of the house.  But, what can I personally do to help fight the spread of Covid-19.  COVIDWISE helps me to do MY part in my community.  More signups directly translates into more successfully controlling Covid-19.  Please sign up yourself and help us all to be safer."
19,20,Tiramisu8402,"Easy to use, great step in the covid fight!",5,2020-08-09 18:13:19,"I’m proud to be a Virginian! I hope many people download this. The app took like 3 seconds to set up, is secure & anonymous. It would be great if the developer adds a content section with updates on covid-related recommendations, changes to local distancing/mask laws, and an updated symptom list, like the CDC Covid app has."
20,21,sharkchompchomp,Glad I downloaded the app,5,2020-08-06 15:40:20,"As soon as I turned on Bluetooth I immediately saw someone in my neighborhood had tested positive.  Granted you can’t see who or where they are (so zero personal details being shared which is a relief), but it’s way better than flying in blind like we were before."
21,22,krayzie999,Amazing app! Go VA!,5,2020-08-07 14:34:33,"This app should have been something the federal government published and should have been promoted nationally. Kudos to VA for taking the first step. 

People who are reporting ENEErrors 14 - it’s because you are on older or beta iOS versions. Please don’t write negative reviews when using older or beta versions of iOS."
22,23,Jeffroman316,Bluetooth not reloading,1,2020-08-06 00:56:49,"Not trying to bash, just trying to get this seen. Downloaded app this afternoon and saw it created a new Bluetooth connection- 4 capital letters. 
Went to connect to a Bluetooth speaker and my phone wasn’t connecting so I turned off and turned Bluetooth back on. The 4 capital letter Bluetooth connection is gone. 
I have tried cycling Bluetooth as well as closing and restarting the COVIDWISE app- still not creating that Bluetooth connection. 
If this is for tracking and helping people, it should re-create that Bluetooth to work"
23,24,GadgetGirlJen,Is it working?,5,2020-08-09 10:50:51,"Hopefully I never receive or need the notification.  I only wish there were some way to know it's working (e.g. Did I pass by another App user?). Hopefully, in time, the anonymous data can be shared so we can truly ""feel"" like we've made a difference."
24,25,Rubber Lizard,The best option.,5,2020-09-25 19:38:16,"While other public health departments have been notoriously slow to respond to Covid-19, it is great to see an exception. The Virginia COVIDWISE app is the best and only app to take advantage of the cross platform exposure notification platform developed by Apple and Google. A set it and forget it experience. Highly recommended!"
25,26,Reviewer63792-17,A Simple Lifesaver,5,2020-12-27 15:08:59,"This has really brought be peace of mind. Downloaded COVIDWISE a couple months ago and have been able to tell if I have ever been exposed while out and about. 

If everyone where using this app, life could be a lot more normal!"
26,27,TheHammer610,Settings Are Difficult,2,2020-11-23 14:02:34,"I wanted to turn on Availability Alerts but cannot.  It is not listed in Location Services.  The switch is grayed out in the app.  When I went to the VA website for help, I got the following:
[siteorigin_widget class=”WP_Widget_Media_Image”][/siteorigin_widget] Download Virginia’s free COVIDWISE Exposure Notifications app to help protect your community while protecting your privacy. [siteorigin_widget class=”WP_Widget_Media_Image”][/siteorigin_widget] Supported on iOS 13.5 & 13.6, compatible with iPhone."
27,28,Davidswelt3845890,Is this going to work for non-Virginians?,3,2020-09-03 12:55:52,"What happens when someone with this app gets exposed by someone from, say, DC or Maryland, who may have installed a different app?

Rollout, communication on this were bungles. And possibly the technology also if exposure notifications do not work across borders, because let’s face it: people are mobile, whether state officials can imagine that or not."
28,29,Donkadillapig,I work in deep enterprise IT,5,2020-08-11 10:45:43,"And I value my privacy! Nothing I see in this app worries me at all. It’s a solid, discreet implementation. Battery drain claims are bogus, no more than leaving your Bluetooth connection on all the time (which most do) for cars, speakers etc."
29,30,Drf5n,Add full date & go nationwide,4,2020-12-15 18:19:57,"If it displayed the date it wouldn’t be as easy to spoof with a screenshot.

It would also be nice to have nationwide interoperability rather than just virginia-specific tracing. What’s a dc person supposed to do? (Update just in time for holiday travel, the devs write: “COVIDWISE now participates in the National Key Server...” so that’s improved."
30,31,Boomer703,"Parents, coaches and teachers",5,2020-08-07 12:04:48,"If we want to ensure safety of your family, kids, players, teachers and even after there is hopefully a vaccine, this is “the” protective layer needed for us all. Not just for this pandemic but for future outbreaks or even just peace of mind."
31,32,GMU Student,Your privacy is safe,5,2020-08-08 19:27:21,This app doesn’t know who you are or where you are. It relies only on the distance between phones and the strength of your Bluetooth signal. No personal information is shared with google or Apple.
