,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOHqdpFmLwnbdJ3-J_ghtsjk2ApnSF9_qNyP1-HifKVAqkB-nCIqvs9i31z6FCq2T_TUwS945Owi6kr2rw,2,2020-12-18 04:58:55,"Doesn't seem to work. My wife and I both have this installed. She tested positive, I went through the process of telling the app she was positive. And I never received a notification that I had been exposed. I noticed that her bluetooth was off. I turned it back on, waited a couple of days and tried the notification process again and verified that her bluetooth was still on. I still didn't get an exposure notification. I've been a big advocate for this technology... Why isn't it working?"
1,2,gp:AOqpTOFqf2WZiwizHKqsW2-mKpDY-IQ7ZJdnFrmtr2b7ZeuQk0JgzO8V7oGSgYIrto2I3VYXe2qpEDfacvXVJQ,1,2020-12-04 17:40:57,"Opened the app to report a positive test and found out it hasn't updated since Nov 26 (its currently Dec 4). All of my settings are correct, my Bluetooth and location stay on anyway. It took several tries over the course of a few minutes to get it to save my test input which is like, there is literally one thing this app is for. Why can it not just do the thing. I'm asymptomatic but if I was sick sick I wouldn't have the energy to fight to get it to post."
2,3,gp:AOqpTOHK4xfhKo8r4S58R1sP7jxoDJOLGkHFKyulknhg_fNEvp0uWhKOQJEbbSOdN_MU6CmWlCnlNtkIEIyzYQ,1,2021-01-08 16:34:05,"When I first installed the app, it checked about once a day for exposure. Then it stopped checking. The last time it checked was the middle of December. I uninstalled and reinstalled several days ago, and even though I occasionally see downloads related to the app, it still says 'exposure never checked'."
3,4,gp:AOqpTOHO1OyktFSMJCV94i10wcLsCHL2TBgvWcTsUEilfVJqbqH2XVLM1z4fGFYkR8qLoteTw8wik6PsE-n1qg,1,2021-01-06 16:50:43,"This app does not work. As soon as I put my phone number in, it will reroute to my school's home page and it keeps doing this repeatedly even when I restart my phone or uninstall the app and reinstalled it back."
4,5,gp:AOqpTOEd2jXabgdV121wiVx8kZrJRHaMWY7t6A88rontTm8JDL4RkCJfFFZ4nTqyLx6EZFHAgOcG5xYqowVWaA,3,2020-11-18 12:28:03,"Up front everything is bluetooth, bluetooth, bluetooth. Then after install the app demands location, too. Good privacy policy, but I can't leave both bluetooth and location on at all times or my phone would have to stay on the charger 24/7. Maybe my fault for having an old phone. I'll leave it installed and just enable everything as the Austin e demands."
5,6,gp:AOqpTOFkWr-DonIA1wG72IyE3KRsLjLbjrj26dNug3RkjQ7Pi5e_A5XRWWwefGzFRuPr4h5lUC-y0guUJj5F9w,1,2020-12-27 19:22:21,"The app checked for exposure every 24-48 hours when I first installed. In the last month, the app hasn't checked for exposure at all. Uninstalled, reinstalled, checked and rechecked settings and still no exposure check. Uninstalling permanently. Worthless unless it consistently checks for exposure."
6,7,gp:AOqpTOFkyGqvIos5_wVHHX4lCohPvbcyuGCW3W13gIWx1oDXBZ-uGLho7b6XmIlhy-ER2Dw2dpFgCkKZ8x-fpg,4,2020-12-03 15:17:48,"When trying to report test results, it only says ""Server Failure"" and won't allow them to be reported. Makes me very skeptical about others being able to report positive tests and alert others. This app has one very important function and it's failing to do its one job."
7,8,gp:AOqpTOFog_CAAX8gU5ZkcR3lEYEBdWiU44s4QrrJ8x0fBOXkZCnO50nY6-J2E4vtwATkycHyX9-hDr1CcVqXtQ,3,2021-01-01 06:38:52,I just wish more people used it. I kinda feel like it is not useful since people have to opt in for each aspect... BUT I will keep using it as long as this pandemic drags on. Update: This app is a fail. :( Very disappointed but not surprised at this point. It just stopped updating early Dec. Then 2 days ago it locked my phone up downloading. I had to force close & uninstall to stop it from locking up my phone. I wish this worked better.
8,9,gp:AOqpTOGB55DwbGMD7gu5f_x4ZM26L70zgZZdaRv_fbakgIa_kq9OhYdS9WxDDA5CQv4nYzPs5r-zU7ImnZbUuQ,4,2020-11-26 22:41:56,"The app itself was easy enough to set up. I think most of the issues people are having with this all is not understanding it won't work as accurately if more people don't use it, and people not understanding how the technology works. I will continue to use the app and update my review later."
9,10,gp:AOqpTOElZ4ssQo_dkGTqDUbNlkWykHej-zgjdg6K-RLb840wWjnC8gJuc9MOgWa7DZzFTXgHuo_D-Mq9qqWAuw,1,2020-11-08 04:15:03,"I just can't figure out out bc I know as many places as I have been lately I must have had some kind of course contact somewhere and haven't received 1 alert, just everything about it is confusing I don't even know if I'm even logged in correctly or whatever you're supposed to do.. Hence being clueless"
10,11,gp:AOqpTOHhKzDuSpW9ruHHJxQAWzRitTSc2r4PhbLRgE6VTWMvA8p8Hc7pYqEQQrBK0dPHYYxqN4oZc_heiPULHg,1,2020-11-27 04:22:21,"The app has serious bugs. Mine doesn't let me past the ""Your Privacy is Safe"" screen even after clicking the disclaimer and clicking on the green ""more"" button."
11,12,gp:AOqpTOGVLShQqNHpxBkLtu4akgah0E53pnSykLJ6OGbnGy8JqgTCg1JX3aZY7F8Si7QpykwBT59C0kyoZlrSuQ,3,2020-12-01 09:35:17,"Great if it would work. I tested positive and want to alert others by using the app. When it asks me to verify the code sent to my phone, I can't because it never sends the code. I've tried over and over."
12,13,gp:AOqpTOGj3jQ15VQQ1G_aa2MexOIGt8YJap9dTWnBq6xNM4H7TEzj8Df9B_UX4R3Oruiyj4WlKcbU-4P_D9uGSQ,1,2020-09-12 12:13:26,"Doesn't alert exposure accurately. My friend tested positive, she had the app, bluetooth on, and had exposure turned on in her iPhone's settings. We hung out at dinner for about an hour the day before she tested and put the positive result in the app and it's been 8 days since then and I have not received a notification of the positive result. My Bluetooth was on and I have had the app properly functioning as well. This is a big problem and the fault is not on me or my friend."
13,14,gp:AOqpTOFf9n0F9oaG9XUg0FXqKpd4GYW2y0Wgjzqufrd55jtUsn_AE3x81GC7pNDfGATBCtV1fOu3jbvUUxAbbQ,1,2020-12-23 12:54:28,"No longer working as of November. I have reinstalled it twice and it just shows ""never checked for exposure."""
14,15,gp:AOqpTOH0fB6RnxP0iNnJKSRUlBGCdyuLNrtuWjkxCRTLzZNF9RWFJx8m6GOtvLwg9OgW3UCNrCgvQy6GLnDfOA,1,2020-08-27 06:40:21,"Notification gives no information! I was notified of a possible exposure, but the app only told me the day. It did not tell me how long or at what distance as it's website says it will. Given I wore a mask everywhere, I don't feel I really need to quarantine for 14 days based on an app that so few people have even downloaded! Please give more information if you expect me to take your recommendation to quarantine seriously!"
