,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOF-J7B5gFMR3oLtqla4GGc4e1yQM2K-68pgmt1oQ-EGZ-zU4hsDZZDmpgv2RRB8WnFyV4guIjc03-9y94Y,2,2021-01-09 15:52:39,"The app seems great (simple, unobtrusive, easy to use, no major privacy issues) but what good is the app if people can't easily report their covid results? Why haven't they partnered with testing facilities to provide this code automatically upon getting a positive result? I've had this app for months and haven't gotten a single notification ever"
1,2,gp:AOqpTOGkziiS7edZoNcpD6uYkO2zOBvnAo6BHWt4g9DM1cgb7x_IE7z4pudBPBWuc27yd_IuWSO2fUem4SFJbjQ,1,2020-12-18 14:25:51,It seems rather useless. It's entirely dependent upon people reporting themselves. It's never reported a possible exposure until today. There is a zero chance that I don't encounter at least one covid positive person within a hundred feet of myself on a daily basis. The possible exposure was seven days prior to the notification. It said to quarantine immediately... Seven days ago. Yikes.
2,3,gp:AOqpTOFN5rXIaLxHmq6DsHgnBWNyAM9_rgR2El_oyM03CKQ1DpKvI6lJY7bhVHRX2uKKa0o-cVmwA9sipFDe1ys,5,2020-10-23 23:36:54,"For those with privacy complaints: **Before you ask, this app doesn't have location access.** When you turn on this app, it will generate random numbers every so often and share these numbers with a central server. When you pass by someone in bluetooth range, it will share your current number with them. If they report positive, all numbers they have been around will be notified of the positive test. No names, no locations. Simple, private, secure. I like it."
3,4,gp:AOqpTOHPUL0PIipfS38lEDaf8zLh2W3xIkEEULj7A00lby_PBMhROIgxMqcXabg6dk1hEal6fc1rDzGWzCoIKNE,1,2020-12-31 06:47:12,I find as others have said not getting notified. I would also like to see the areas in which covid is reported and numbers. This app seems pretty useless. I hope we as coloradoans aren't having to pay for this. It's clearly broken and doesn't work. Going to delete hate wasting space on my phone.
4,5,gp:AOqpTOFnObMiGcuBG3KUcu0CBjdHP3bIDxf0HRkSKiW4Rad0nBAMGIPoIzl7wn7U7zIUc4X9SQw-tL_slS4FKNE,5,2020-11-21 12:28:48,"This is an excellent tool. I think they could do a better job informing people on how they get the code to start the notification part though. For those interested, the health department can generate the code for you when you receive a call from a contact tracer. You cannot just trigger it based on a positive test result. Please answer the phone when they call after you have been tested or call them back."
5,6,gp:AOqpTOH8fNHKoE1N9bBJGFmp-m0QUYzebi6d952qZYRM0miYBnb-euEbuzfnZAh8ubWkPKAgZS7wX0hbQsgSTKw,5,2020-11-10 16:09:57,"Excellent design with regards to privacy and seems to work seamlessly in the background. If you read the reviews here very few negative reviews actually have anything to do with the app itself or it's capabilities. It's interesting how people are happy to give you identifiable information for no real reason, but get all concerned when it's something that actually benefits the public and doesn't give up identifiable information."
6,7,gp:AOqpTOHOwBsBe3ba9LCAko6TJr8T1cNVD7Y60KiUWermTXR77OSLPblVcOy2bF70Tw51-oYvZHA3yK2m1L6mkOA,1,2021-01-02 06:41:13,"Most users won't have the patience or technical know-how to setup or use this app correctly which makes it nearly completely ineffective. The FAQ site did not have any info on where I could find a confirmation code to report a positive test; I found the answer in the freaking app reviews (CDPHE will eventually text you the code). While the idea is novel, the execution actively discourages adoption and use by anyone except tech-savy users."
7,8,gp:AOqpTOFWasu7D-vrZPL8sfsQmH-Im3PJo5DWyXQTudTLQMTiz3i9jzS6svqsMq2mf0b-ASU7CY99lJ79Ty5i5Cc,1,2020-12-03 10:35:08,"I discovered the magic link was being texted to my home phone number! Mine is through Google Voice so I get an email copy. That email goes to a seldom used gmail address and the link won't open on anything but my mobile phone but clicking on the link bypasses the need for a code. Still one star. There's no documentation, it's pretty stupid to text a home phone especially when you have an email address and you shouldn't have to have an engineering degree to figure out reporting."
8,9,gp:AOqpTOGfIwSZvcjCpaR5rOdSl5A9S8NhaMc9Ln9zBNC5NHQTFMyuE8fNfc51ABTUwCtVfmFFCDHNhLTEAWCui0Y,3,2020-11-18 18:31:37,I can't specify my area nor can I put in a result whether I'm positive or negative. Need to understand what code they want. Also if it only sense through bluetooth I don't want to be that close to someone if possible. There should be more options in Android app. Couldn't get my iPad to gain access so not sure how others are getting info even if it may be places I may go in the Metro or suburb area. Clarification needed pr more options.
9,10,gp:AOqpTOFS8oSdTdx4cXhbRCbmO6F2rjIRZr3Bo5h9z8-9ClHuW0Z96G5_JdDQTPN8XEYMbS0hdw_aniKaMgMxFY0,1,2020-11-03 11:38:39,"This tool has a serious flaw. In order to notify others of a positive test result, you need a verification code. There is no explanation as to how to get this verification code. I have found media articles saying that a contact tracer may call me and provide this number. I'm on day five of potentially exposing others. I am not the only one experiencing this issue. Please communicate how we are supposed to verify positive test results."
