,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOG_BpZm1VKYCZYp4utk-7V9q7yiKBQYuoe8mGBnxp7LpRhJvM0IH1lGdROp8FjXB3J6dGaTcdfo6hOpfg,4,2021-01-11 05:26:59,"The way I understand it, you only get notifications if an exposed person has downloaded this app and gives permission to share data. Those who have been exposed but saw no alert, the person may not have had this app. The app is only as accurate as the number of people using it; it's open-source data collection and completely voluntary. More residents should download this app."
1,2,gp:AOqpTOGi8bQBLZb3f40kQ3oIBn32z_DaB5fCKgsfZ1E-PhbN453tvRQ8u7e4zcHfD8db--EzkWvBzNBK4lt4Cw,1,2021-01-04 12:27:36,"I work in a residential facility where both staff and residents have cell phones. Not once, with any positive case, has this app notified me of an exposure. Very disappointing."
2,3,gp:AOqpTOHg2tyaHJKEAqemfPHg53tzxM-IR_NhT2C4SB0rlNc2wqwNmqRG89LEbkNAzNBpTPkNCFRQ7jF36vDEmQ,1,2020-12-28 10:14:04,"Why ONLY allow the fingerprint scan option and not offer the password/pin option? (Meanning I cannot access the scanned list). Is it that challenging for the devs to realize we all don't utilize/have access to the SAME FEATURES. This app is the equivalent of a paperweight, in my phone."
3,4,gp:AOqpTOENPWuBcSD1Za2fYbCQL0IL2X3_7hkVV4DUYRnI6h3zdtTz3Pf9GuF78bnQFfk7V2QrAufxd1eq8va_ng,4,2020-12-18 18:49:17,I'm not sure how to rate this app (see the XKCD comic on tornado warnings). I'm mostly reviewing to point out a SERIOUS flaw in the design of this app. I live on the border w/ NY. NY has it's own identical app. I can not run both apps at the same time. So I have to pick between CT or NY. What is the reason for this and why is this administered by the states at all? Why isn't there a national app?
4,5,gp:AOqpTOF6detCtc98-INfuXhOEq5DVkMW1BDf6LOiGZOHVWUkNC-e3f4knos0tIDSU4i9XsOB31whIh2eLI4y0g,4,2020-11-26 17:19:50,"Bluetooth and location are always on. Significant battery drain. When a covid notification pops up, it does not take you to view that information. Rather you have to download the active app or you just get a spinning wheel."
5,6,gp:AOqpTOFoFCOAsxdoMSOaJSUTq81nK8KXiW7JPKz6SEPZfHl0THmrgJ_MVsjoIQPJO3L_5IHT7RMSSBPwx3rliQ,4,2020-12-01 02:16:10,"Impressive. I am impressed at the effort expended by the State of CT to ensure the safety of its residents, creating an app to track and notify exposure to the threat of a virus that kills approximately 1% of the population (not counting the elderly and those co-morbid), and at the same time continue with the virus-turned-political-weapon that is the COVID19/WUHAN virus. I recall an era when individuals whom presented a threat to the health of others were the ones quarantined. Ugh."
6,7,gp:AOqpTOGH8EKnl8UsZX0b4tmGUKi9NR9AC3UzzdPo-1MFqxFd4BlCXqvyjL_CBslDqgngKQRcujuotcyL70s5pw,5,2020-11-13 14:01:40,"Happy with this app so far. It was easy to set up. I like that it focuses on privacy (no permissions required, data anonimized, etc) while helping me do my part to keep us all safe."
7,8,gp:AOqpTOF49LldjfEaVoVw3str6MVN0Urx5CPz-fDSPW_fVFvaEwwiB1vjXz6ULMLyjfEmIuS6mHbK84t2H5ynlQ,3,2020-12-04 09:36:41,"I'm glad the State is doing this, but being near someone's app isn't enough. Not everyone has the app. Why aren't we informed of cases in our town? No personal information needed. I know someone who is positive, and that would be good to know how many, if any cases are in my town w/o having to go to DPH."
8,9,gp:AOqpTOHAHrwVdm1lEgH0oG8eL3uL_qeGO_ia1XWm3vkATeQe90SN9MYF6tkoGpdSZrU8tbXLC8I9PhbXhvOZqA,1,2020-11-30 10:55:48,"Contact tracing is a joke..... My kids have had covid for over a week and a half now, no one has called... I've had it for a week now and no one has called. And u can't report it to the app without be contacted, so someone infected is going around infecting other and not knowing it. Great job CT!"
9,10,gp:AOqpTOFCAIqBkCgCS3ZjZGQ67bYDOp4bKoesd72Hu1L2zFclEA4wY_Mr4dSVln9UvlWU8mDKsfPyjIohEHPm2Q,3,2020-12-27 19:23:47,I never recieved an alert even though I have it set up to alert me. It did notify inside the app but I would have never known if I hadn't looked.
10,11,gp:AOqpTOGAKNGVRgvTJ766MjeHd7zEb4JGGfJYpcppccf1YO8A8vaK6W0B4icsSl1a6tuRxWBgDSqGQ18qNMRzkA,4,2020-11-28 11:25:25,"I hope this updates with past exposures/past positive testers too since I just installed it & it's only providing new reports, of which it's currently empty. Also hope the Samsung Secure Folder installation glitch will be fixed soon."
11,12,gp:AOqpTOH73_ezygfJGZHnqHe1PNrgRLdmhm2-4WZvwz4lPDNDLvd-UyMwnXQSDsBLpLTQqbOR2tdgglFcZF7cjw,2,2020-12-02 23:05:04,"App does not work! I go to turn on exposure notifications and I get the error ""something went wrong"" and no way to contact Devs of how to fix this. I wanted to specifically use this while out tomorrow."
12,13,gp:AOqpTOHZCILos_1PBmO0K_bDzv8a6Gun1GmomhwKUmi1jdm6dULJ7t77jTIsqpQIGpFW0ybp60rWpUzXdMIx5A,5,2020-11-14 12:45:54,So far so good. I like that you are not required to put your personal information in to use the app. Im happy they came up with something to notify you if someone nearby has the coronavirus.
13,14,gp:AOqpTOEU8xaN__uxQD1MZaT7Q7EjTmruL03HPmMkD-BStW5ym3LoZhQgIZ0c0BeLzZyF8utbSbz6LH5ufMm_ow,1,2021-01-07 13:50:37,"This App does nothing, I have been in contact with several people who had tested positive for COVID and this app did not alert me to anything."
14,15,gp:AOqpTOE7rWolQJLYTbclwbmnpWwNmEyyS9c3D2bhMsxRzQSyaoUWbhttLuWM5-7KiuktqiFpC3qEzYOiboNEBg,4,2020-11-14 18:54:15,Great app. I was reading Wormwood a book about apocalypse in Connecticut and the app reminded me of the one the main character has in that book. Its also nice to know when its better to just stay home.
15,16,gp:AOqpTOGPBuW_uz3pxhxk4HXeuUf2eAOPorkXbqU5AZmX_6aZwIuEKXWbSrz9ifgDWuMnOXfeX4KwTrQKDy2eTQ,5,2020-11-28 16:57:29,"Nice app, like others have said i appreciate that it doesnt require permissions and the privacy model is transparent. Only thing that could make it better is if it was open source."
16,17,gp:AOqpTOHKKg-Qu8bJinsWobeozLfYPNL0NNRp99d7CByd8u0spF-akAuP9NsgnycVTg5gcrABZcvJ2SO4Dolp0Q,3,2020-11-13 04:14:31,You have to keep your location and Bluetooth on for it to work. That eats up battery. Otherwise it's functional. 🤷🏽‍♀️
17,18,gp:AOqpTOF3VwRG-lKYwGjQLi6ONV8uxUxRHiZU6H5q6ZfLOya65NpsAot8x7jN6N4Aab00EywyjyR0SgKQs7Jc6w,5,2020-11-13 10:20:34,"The app requires ZERO permissions on your phone. the app doesn't know who you are, and doesn't know where you are. They did a great job at anonymizing your data. again, GPS IS NOT REQUIRED OR ASKED FOR. it's either we install this app or shutdown the country."
18,19,gp:AOqpTOEKIM6isYqbP2GLF9bcQPCulI7E9gIDPaSMMBFMj5WXZ5hds7f0alCMSdYmhNMkxPlzfmcShGoq2u-iNA,5,2020-11-15 05:26:18,"Installed without any issues. I was worried that it might drain the battery but so far, it uses so little it registers as 0% per hour."
19,20,gp:AOqpTOHnyg5cGcZP1Syznd08Afbi47t4YoOlH6Tvx5554JSj9d-0haYSrAV9eFGtnUnnquQGAi-OgpB9e7ohxw,1,2020-12-19 18:10:52,I have never received a warning no I'm not sure if the app works or not. I have been diagnosed with Covid-19. I went to put it on the app. And it asks for a code. What code. I got a test result not a code for a gift card. And no explanation on the app as to where I find or get a code. Maybe this is why I haven't received any warnings. Should have known something from the CT government would not work well
20,21,gp:AOqpTOHhWiXVG6bOsBqtcLXdBwsrYbKz_CzSL47AEcgkDWRdlzCzE5wJeqE5IIep_hh6nMEUiGkAhW8eg_agFQ,3,2020-11-25 13:32:03,Can't turn on the exposure notice. Keeps saying something went wrong even Uninstaller it and that didn't work. It stopped doing that thing
21,22,gp:AOqpTOGj7WznG_ldJia2xD3H7vwxKLUxYzW91IoRiPflI9PYrJof1B0RA0R7451TXnb4QHKS32zg6-qcLChqrw,5,2020-11-28 19:49:12,"All citizens must be alert about covid-19.Most of the citizens are not wearing Masks, not maintaining social distance. Due to these reasons Covid-19 is not reducing among people. This app is very useful to control covid-19 ,because it alerts the peron who d uses this app-- Ramana VTV."
22,23,gp:AOqpTOEVp-Fixbp9V6MXvyrLyE-CMh_xpLm-NjV3v1K3PVnMKeUJ3NkcLm6Q05x58u-xzA3aYlBdjRPIONescQ,4,2020-11-12 14:18:58,I had no problems downloading this app on my Android phone. The more people who download this app will make this more effective. Will ask friends and family to download as well.
23,24,gp:AOqpTOGvMoIPTfy1MHlFlFIkH_DcBuCBEE7SPdhoNrxAP2ZLQIzE5h5inlWfdSTTKHK17xy0jtFZILFETyCnIA,5,2020-11-15 08:07:05,"Seems like they did a good job to make this as anonymous as possible. no permissions are required by the app, which is really nice."
24,25,gp:AOqpTOHAdCxScwacoR9Mb5nErY8pYwEld2MioGsWx6mAXLlcSfr1r06WGfVCH1uDKWruE8PidXvBJTVcP4G8Pw,4,2020-12-01 16:47:48,"After deep diving the privacy claims of this app, I feel given it's a fully voluntary system that if you're concerned about covid-19 infection/spread, this app is a useful tool to protect yourself/loved ones while also contributing to the greater good by stopping the spread. Unlike other w reviews, I have had no noticable battery issues B-LE feature on my Note 9. Lost 1 star for some UX bugs I'm sure will be resolved soon."
25,26,gp:AOqpTOEUKORODZ0mqlprySXmkpbZoQkPqeStfoNk-9MBgKqSTVyROXhsYmBDi7YoZLyHiBZ64-NGjTlQVDyEzA,5,2020-11-14 13:28:36,"I had no trouble downloading the app on my android, and it automatically activated notifications."
26,27,gp:AOqpTOEXfteyRgLrwAjpxnSNoFgzSVdhmx9ZyEW9z0iSB91H_LyRqiLZs2ENQWCwJ1xVIw-c84eH6IXKusNzLw,4,2020-11-18 19:38:11,"Easy to install, but I can't put a shortcut on my home screen. I have to search for it every time I want to open it. Everyone be safe."
27,28,gp:AOqpTOEcjLvVgmbKF1p402oaCQPztGDmzvzzmaJPKXtYLZkkj_B9qk5aIzLwGvUToVsMAMkQ5IdMkoWhyot2gA,5,2020-11-14 08:25:08,Install on my Pixel 4A was smooth and you can tell it's well designed and not a hacked together iOS port.
28,29,gp:AOqpTOF3PuZRt2g29lLJ6mqAXzK4N_dm27VJu3m0cLHgWdcoyzISDrQM2Pi1XAQKJBl4zLDtJvi2tpgRd7Xpnw,5,2020-12-14 00:08:08,The exposure notification activation issue I reported in November seems to be resolved. Thanks!
29,30,gp:AOqpTOGNfyc5yMqx06KzxmISzted7KYK47mK9TVW3gRiQw6tRUVQl2GEsZZOL-dbXNsl85sgYtECwuv7a1i81g,5,2020-11-28 15:24:33,Great app. Glad to see CT dept of health participating in this notification system. Be a patriot and wear a mask. It will save lives and prevent the need for further lock downs. No permissions needed. You have no excuse unless you hate your country.
30,31,gp:AOqpTOGcvoq2rqNC-NtAGO48KrBWB1FCuEbwQJufs7PXxx5vZoyYrt-77TN9dwV2EC-DkfZX4rOYaYSVTwouRw,5,2020-11-13 04:25:34,Error free install on Samsung galaxy with current OS. Looking forward to everyone doing their part.
31,32,gp:AOqpTOEGlWMbB1COTFybBKiDJ1UG-Adur838WFxDk3POyYz-h8m17rLT2cybu-33fRc4X1swxu2W8764MbbNZA,5,2020-11-26 20:22:57,"This app is a hoax 😉 Update: I forgot that I wrote the above ""review"" until I got a response from the developer. I just want to say thank you for everything you are doing. This app is a great idea. Keep up the good work! I probably should have kept my original tongue in cheek ""review"" to myself."
32,33,gp:AOqpTOEyTGdVYDWdENXBeUVyqy0v320YAb99yHTAzq0ffqlLfCz_H_DQ89Ory1j8YCyGWrwLDtAjs1wZ9DqWag,1,2020-11-19 10:21:24,This app is worthless! Unless you input positive it will not alert you. There is no way I drive through Waterbury and not 1 alert!!!! What a scam.
33,34,gp:AOqpTOFiiP3gLvil0mMxULBiLfb0Fu2FFeR6AAF8Oq9GY2OMdLy71sS0Dhp57qYtgHNFb5NdvU299Mh_69ryaw,1,2021-01-06 05:02:57,Deficiencies with this app. A. Not everyone in Ct. has this installed on their cell phone. B. Not everyone that tests positive is reporting it. There's been 2 ppl at work that recently tested positive and this app never alerted me.
34,35,gp:AOqpTOGhHkRIKHO62of4w-Z83MRVg3XkL1v8ybEFQUGgWyRmlsLHnwy-p2w1vkSY7vWKk0XqtJ4E096GPgH5Kg,1,2020-11-14 10:05:48,Downloaded and went to turn on notifications and it immediately says something went wrong try again
35,36,gp:AOqpTOFMxu5VNgykVyv8h6Nbf7zWiEiFXknpYh5fxVN4aB1c9YD4QSeu5lepncFetuAEznOC-TCUckiqHj2huw,5,2020-11-15 11:53:00,Works fine. Hope I never get a ping about being near someone thats infected!
36,37,gp:AOqpTOEqYAv0YYumIVkKzhV_hPewfsxSsKHqcO3CZYzFwrLOJYr3OFnGjx20Nh701yC7CWmNxJcsUp_4GDQvUw,1,2020-11-14 08:48:51,Cant turn on exposure notification keep getting something went wrong try again
37,38,gp:AOqpTOHpy-xnaN91rMSF0muFUrHlkwkVnitnK0Uhw84F5kX0lNjFhE5eYjNGZ2ZxkzEcq1C2fnzUVmte2t-PNg,5,2020-11-18 12:45:26,"Clean interface, and it seems to work well so far. Stop the spread!"
38,39,gp:AOqpTOEwtScD_8JXR4djjd2fbsqx1TBTHKu1aHLoZn1YWl2ERZHjyVzK66yhlJdvmdWM2DbGpBlgxwLYVZMzNQ,5,2020-11-12 19:08:09,"Finally! Took the state forever to get a tracing app out, was looking for something like this months ago."
39,40,gp:AOqpTOExUt_-GeCkPO4UzNAWGX1EvN41ZfeTaNGxXnS1vVKpNgR9AA5R3aFoj2-XMESy1He5kML5HqNAaRDmKA,2,2020-11-14 09:01:30,It ONLY tells if the Bluetooth is ON ? Right... if the person tested positive and the Bluetooth is off dosen't work?
40,41,gp:AOqpTOHLDhHBG42A1jmXJrQaOEp9USFiGG_PdD_fKrLR0ivfi5xFetY--oeRUpvp_1_CnKLMNLXSeX5YECPMUw,1,2020-11-14 10:21:56,"Overreaching, evil tracking, just so govt can get you used to ""social tracking"" & who you intact with"
41,42,gp:AOqpTOHJr7Pz1chSL_dkHWTEmOuS0PfawECGPxKJfgS1oBe2jWbCkLEC8FQ9gsfqz5de05S4CpzVQrYcoVQyHw,1,2020-12-05 16:07:19,I tried to report a positive test result and for not receive a one time verification code
42,43,gp:AOqpTOEflgq9SQz9f4yq09tHyinQByJaZuFPX5wTmLFrJz-HcllXtszpDFY62XAqFjdDHh1oeysiqoQZQDV0Yg,5,2020-11-14 15:47:05,Easy to download and activate on my Samsung Galaxy device.
43,44,gp:AOqpTOFZSEy-Ql795ZTMd37BDjQwQ9YrvrVSiRmbDw0mk_bfKO1sn3RiwCTtVXAqNYPXYhiKjAJpKcjjZKLKqA,5,2020-11-12 16:58:06,Quick and easy to install.
44,45,gp:AOqpTOFpngn-qy-ngyV37_E_3vLmwqmEf0kzAC_HHSYdEuv6qSH6dQKU6S3CCrwjVWwVmWoaBI_eHjkxTBv1wA,1,2021-01-08 18:44:53,It's my job to be next to people with the 'Rona and not once have I gotten an alert.
45,46,gp:AOqpTOGML3KEGBctBCVGFFUBUgoOCNWdOPfw_FioHNyBg7mi7twAoZD9b-TNVebouu89JcM_KI2fxRvOkEsMBA,5,2020-11-14 05:32:04,"I researched how this app works and I'm very comfortable with the way it protects privacy. I am curious though, if I'm around someone from another state that has their state's app and they get covid, will I get notified?"
46,47,gp:AOqpTOEnxr_Cuz2Joq5vcrZlAkrlN-fKZv7NiZ-ZRjYVZKCc0IS_Yu0sawv_XgPedG67GqA3AV23GeQbjRbwMw,5,2020-11-30 21:06:29,I just downloaded the app I hope I like it and it helps to keep us safe or lets us know how to better besides disinfectant spray
47,48,gp:AOqpTOEoeCJqwYZhPtqG3t_W9gygTX3kBFp1t5y6zFdb-RMr-xvnNEN0I3l92aa94KLFQHK3KZruWufrKLRoSA,4,2020-11-14 10:01:39,Just DL'd it so i don't know how well it works but WHAT AN AMAZING idea and UTILIZATION of technology! And it's ANONYMOUS!
48,49,gp:AOqpTOE1ZYGFbudSXk87XhC3yylVQfDlREvbwTBTBaxNXlXvrGHe0mFzxp_LQxV8NWaa-D5VU3d7xY12SIVv5A,5,2020-11-12 15:08:03,This is by all senses of the word a life saver. Thanks guys
49,50,gp:AOqpTOFyaegDYfrwML_AyOwz8CYmxk1iqwHvVEoC1zoQLd3Op519npZpo15xm1WE1WL9oRB6jja1DEXUZuf4ig,3,2020-12-17 23:41:41,Someone in my building tested positive but I got no alert.
50,51,gp:AOqpTOH7qFOaSur_R70GQEXMJ8N1uAZ8y5u91fN8EXTVnfw8295WubCoDSYP7GB0MVDFB_eI5ffmQpITnHgfaA,1,2021-01-11 08:20:45,"Not useful at all. Based on responses by the Dev, this app uses Bluetooth to communicate with other phones that have the app and are atleast 6ft from you for 15 min...that means if someone is in my 6ft circumference and has COVID but walks away before the 15 min, the app won't notify me?"
51,52,gp:AOqpTOFaM4YJyiKYG7vJ8R9SScth5nLzax1nbZjew2zkbgO8doDDVQcu-xha6ewARGVoM1HY8IZeIk2mvmCaww,1,2020-11-12 17:54:18,exposure notifications won't enable
52,53,gp:AOqpTOGJT8-makBwcrp_Nt3xvJieOVEbpet84c1NSKh1X8I2f62bYD300qtsnZRAIi6ulybTklvAVS9gbnT0Qg,1,2021-01-02 08:39:12,Totally pointless. Unless everyone else is using theres no point in having it. My wife and I have been around several people who have been covid positive and never received a warning.
53,54,gp:AOqpTOHQFzBoU2eo0ndotVbh7cXxBcldyxw5eaPs9Yw0nyIJdWqGPktygHZvaxbxAPChgl5VMU70KXuiB9_lGg,3,2021-01-05 19:18:51,"None of these apps work together. People should not have to worry if they have the correct states app installed and active, then have to switch between apps depending on what state they are in."
54,55,gp:AOqpTOFqyaAQB1JaLg9Bd0LLIYby4CsgpUI7yyG9BZ9yXPyVPLvaWBO_56aniIk0bllihr2i8Wa3PojUvv9FmQ,4,2020-11-16 20:52:00,As long as it helps people and can't identify me I'm cool with it. I
55,56,gp:AOqpTOFa4Kp8AsEvQXQTLzhLGTcK7MbVmRjqoo5b9xB7JtMPu317ipz_l6CPvHOk-nQXkgYhuQAfI6njdezZKg,5,2020-11-18 20:10:13,"So far so good, I just hope enough people are downloading this app!"
56,57,gp:AOqpTOFKb34Ok5FlGZ9RaatFGbIIdj1f7EqxHzUQvyhKiG_8A32sV6u41D7Bx3x5WeqOWmN0z25ci76BNQUM8g,5,2020-12-01 12:36:27,"I live in Taunton, MA & don't travel much. Is it OK to use this until Massachusetts releases one if at all? If it's useless unless I am in or near CT please let me know and I'll uninstall it."
57,58,gp:AOqpTOEt7zHv4xS4yVy-aovdkOQE4BBzpeOS2if47yFd-ZUhgwyp97IM-1rVRGzNNL905IP7X0wdT4_kB-xhVA,1,2020-11-14 01:41:20,I can't turn on my notifications
58,59,gp:AOqpTOHMPeMyQKpkQbEvl53gAHCji4plvI2-3T9hQYz7vJusgFG0kee5bcPjMsmxhklzigH8q9YRtmJQZhkmMw,1,2020-11-13 17:32:50,"Useless. Reports ""something went wrong, try again"" endlessly. Thanks for nothing."
59,60,gp:AOqpTOH2fIpLR9F8ZzdzEIF157Wqbjpxl2S4ddsCGY9kM4jH3SvVEygNDMBxw6JyF378g6AhKDWBVAjzMz4WDg,1,2020-11-12 21:47:41,I cannot turn on exposure notifications -- I keep getting an error message.
60,61,gp:AOqpTOHm5L3yqCiWUiUWCUZ_DAKQc1pYcETpa_T5rC4KhbU1bUwj6E4OUiB4hMZq6KiYNOtdyBbsiNx6BTQCxw,1,2020-12-07 06:19:42,"Cannot download the app, error message keeps saying ""something went wrong"""
61,62,gp:AOqpTOG81TElxVA_rmThgBUtzXTFCFg23a1Fk8ioAZxxNhtgb7UbFUnn3Xrdlw19QHypIR80mrGPGKw_OhyV0w,5,2020-12-09 10:44:17,Keep the people alert!
62,63,gp:AOqpTOG90o-JcuoRs_VV0OGbK01MIsD0kYZeXxFM84rtHUzXn1HQUIy7LyAb2AyUlIVqzleUfnXf60-90lyyCA,5,2020-11-23 00:07:13,This is a must have for all apps
