,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOESuaOMRB03sax2IuLnVXYso1kUxagUCICxUYi4R5SBPjTwH8-x6JfsDPFUY2Fn7ODWclASpvf4vHjT7A,5,2020-11-20 13:11:13,"Works as described. It does not require GPS location like some people say nor does it have permission to access local data. 100% anonymous. I wish more people used the app and the ones who have it check in. At the time of me writing this, about 5% of the people who downloaded the app actually check in, so kinda defeats the purpose but that's not the app or developers fault. I'd like it to see a reminder to check in every day if possible for future updates."
1,2,gp:AOqpTOGguqkqTz2PydzoTsC6kH2UY3Gkrngc0z2Bly-pfXofzkHXP01KbRvzuqN6rJJS4KWCTsyCuEe-imy3eA,4,2020-10-28 05:49:22,"I like to help. Thinking I read directions correctly, now it is clear. . . ""Use this app for 1 minute a day to make an important contribution to the fight against coronavirus."" I don't know about all that, but the simple and straight forward dashboard is slick. Do your part and pray we get through this post-haste! I find it alarming that Kent County, DE is surrounded by higher infection rates, to the north and south. Software that does not suck is Cool."
2,3,gp:AOqpTOF18-1d0_M4J6CPbvAg13M_N2JlTqpVDDPyhbJVPIHUgstmInQZBHrqY7iS79KBpy1bISpHL4SG6sU_Bg,5,2020-09-17 13:05:59,"Simple interface, good execution. Should be simple enough for less-than-tech-savy people. Very good idea making it Bluetooth only; I can recommend this to others with peace of mind in terms of privacy. It doesn't even ask for other permissions! All around great job. If you have criticisms, please send it to there feedback department. Don't just rate the app low because you're having trouble with it. You're just hurting the reach of the app, and we need this to be widespread to work."
3,4,gp:AOqpTOFz2Fif2PCx825X46s2BIPns4VfS-dj_1LLGZfAXAr9ccjkua8yvAlYXZnBuL0TmEuROXWFDoHnSAoG_w,1,2020-11-24 06:12:48,Useless. Have had positive results for 2 days and still dont have the code to put into the app to alert others. Total waste of an app.
4,5,gp:AOqpTOGmhp5IOd2iqQvv38iuIy5_1BOBgnGUQBbjwo9NiaUCZdHKYDNBk4Hi3eLZav9BeRfQrIRizhVCkPm9qQ,1,2020-09-24 07:20:30,"Would like to use the app, but the app always hangs when I get to the data page and click on Continue. I' using a Pixel 3 phone, Android 11."
5,6,gp:AOqpTOFGYbpaKNlhg3enCBRl7vrT2zTkx3s8c2YR6WkaFfrEtlM5d2jwSoT6MNvK4jwD7z6cuYReHUcxe9r75Q,5,2020-12-31 09:02:38,Health education is key. As a retired healthcare provider science must prevail.
6,7,gp:AOqpTOEhkucc-ya5qp4GCkXZGY3bqmCKaQ_5s3A18Xb3ZmENlV2aHv9wKCYMnUQi2RR_gy4g0T16HjXTgNep0g,3,2020-10-01 03:10:51,"Wish it would remind me to enter daily data. And with 35,000 users and only 180 check-ins a day I assume that feature would help others too."
7,8,gp:AOqpTOF7uETuC3L7xtBoZLvqxrMQhsZuVUIzLSMNaGorRCTYfCHtFths2iP5hnH0yyuKeqmOPNHcMI0jOGKs5Q,3,2020-09-25 15:53:51,The app needs to be updated as it still talks about 14 days of isilatio. I'm not sure what phase 2 is as we are now at alert level 1
8,9,gp:AOqpTOHBBoBxJO_s8K5pLYchO2_Fd8N28hnErTxv6bAXFUviI0gYRdWQSxmny6gbezW9_CnkHi-bm1AqXpMGuw,5,2020-10-08 11:30:51,I think this is a good idea maybe it will help figure out areas that need more help to battle this mess. Stay safe all!
9,10,gp:AOqpTOHgnwIAuz08-ogulrDrXFcHI_g0rXu34KvTXN7rYlwyXGuEn-8s9au_jMtvGmLA02IuBF3peugqvQ3s0w,5,2020-09-23 23:41:49,My only suggestion is adding daily reminder notifications to check in.
