,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOErR9nxsKd35ne8PCCqIbEuy_5CwpKq8uDJPUuLQmzOO0uFv6qNuktsYhaHMkbzgDa-UkKsOlTDEImcmTM,1,2021-01-05 03:51:58,"Useless! As other reviewers stated, to enter positive results you need a code. My husband tested positive on 1-02-20, and the healthcare providers never reported his positive results to anyone. As a matter of fact, he has several coworkers that also tested positive and I don't think their positive results were reported either. No wonder covid keeps spreading in Maryland! Typical Maryland department of health. (Can't say that I am surprised!)"
1,2,gp:AOqpTOHJU0koEWcI2YrygyaXl32XFcLvL8jgVwZSRyLDi4CUkbA0AYxKXI1z-ElGTrk7uP0f1g5hV0j9DlR5qtk,3,2021-01-06 01:32:39,Works well I guess. My biggest gripe is no feedback on the number of contacts made. It would be good to know how many people I have passed by that use or do not use the app in a given day. Why trust the app if I have no idea if it is registering or missing the people I pass by? There aren't even numbers on how effective this app is for me or everyone in general.
2,3,gp:AOqpTOHr_vRc_EDTklZeVpvlEkU2HTxaRC3oVBywCDM4XnKs2z-Ds4N3qeRcn6F_vi2axdh_aYlxyKn4jepOTo0,1,2020-12-30 08:04:22,"This app is WORTHLESS, a family member of mine has COVID and it's impossible to use the app. The verification codes do not work and there is no way to problem solve."
3,4,gp:AOqpTOHdSTl8AYykhss2W-Fz3tAXLEu_GXSYipzO4PNcfPB_jRphYPSc0TEUu2FfVuXwN0Od9j13jj43_qsWfwo,1,2021-01-06 16:23:09,Garbage. Doesn't work. Incredible that money was spent on a useless app. It gives hope for no reason. You can't report positives. So it doesn't work.
4,5,gp:AOqpTOGlrGRx201Bsp0eov1Yt8dVkEku6fdA0fXxvGkjS7KjkZlN9m28HVHPGf7xqmv_d8n65W_FvogA8JUQ6YA,1,2021-01-01 23:26:35,"App is dependent on assumptions. The sensitivity and specificity of COVID19/SARS2 testing done by PCR is questionable. It is traditionally a quantitative test NOT a qualitative one used for ID. Viral culture is the gold standard. App presumably works by your phone's bluetooth communication with COVID + patient's phone. This function may not work properly. I have my doubts. Anyway, most people survive. Infectious disease has been part of the human condition since the beginning of time."
5,6,gp:AOqpTOEHRLi3f_kz3fJTdQ-1oOWUyzZK1n327eLShDYrU1FqQhLQRwRB3BOJONbZYqRQ23WXtwk18q3yFdKyTXI,1,2020-12-14 18:22:41,"Broken Process. Useless app. My husband tested positive. The process: your health care provider reports your positive result to the MD Depth of Health and THEY text you a code to enter into the app to report your status. It took 4 days to get that code. Even after entering it, I still haven't received an exposure notification and we're together constantly. Verified all settings are correct. It actually has to work & QUICKLY to benefit individual users & public health. Extremely disappointed."
6,7,gp:AOqpTOEq2MULSTiG9NL5YiZYbeggaw2Vu9G2ttlYLGkC4XC1CDI5bV9V8GqraPfYaGtzjcaOB2FXXvLTW8HntYo,2,2020-12-25 08:57:58,"Very basic and not helpful, not as good as the PA state app. MD needs to up their game and show they're serious about getting us to use the app. The app directs us to the MD Dept of Health app which is not very user friendly on mobile devices. In comparison the PA app contains statistics by county, helps you determine if you need a test based on your symptoms, and how to report positive results. MD needs to include the same options."
7,8,gp:AOqpTOFaWtoGWGBkNvA8_IfeLgJYneHSgzJr2uEfDtsaGXN8afBBx6VKplIeutaJA89wTNXsZ3ach0TerfXipdI,1,2021-01-08 02:08:20,Tried to install on 2 different devices and app will only enable notifications on one of them. Update: 01/08/2021 Still unable to enable notifications on Xiaomi 10 Ultra
8,9,gp:AOqpTOF8Yin0I3AtRiBNcyFgzIIkm1mu9ocLlKQLUlPXh74wWOKYmsO1foeSMiSqz87Za7rZ4BwrKwwypOLoZII,3,2020-12-16 21:31:55,"Requires GPS to be on all the time. Another reviewer stated the phone's location doesnt need to be turned on, but as soon as I turn it off I get a notification stating ""Exposure Notifications Inactive To use this feature, turn on location""."
9,10,gp:AOqpTOGdpCekqBTM6AfelnrF0_b6qP1fQwo40UqXswBHwuOaUbSNgQgB_BnLnYdcQiAGfVTtFodXDUKanLGRC6Y,3,2020-11-12 07:38:08,It's certainly valuable to have a way of being notified if I was close to someone for 15 minutes who didn't know my name and who came down with COVID-19. The reason I didn't give the app 5 stars is that it doesn't allow me to check in daily and report suspicious symptoms. The only thing I can report is a test result. The other thing I don't like is that there are separate apps for neighboring states. That means that I have to have multiple contact tracing apps on my phone.
