,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOGZvGzxO-VzU30hzAEQPQIGItmXZTZFGGNcn1Xle7c17bIXdtcm2vX16ZK3CEddmKXUZYPJXD0Q0OiCseg,1,2021-01-04 10:20:36,"Impossible to report a positive case without an 8 digit PIN. Calling the number provided just gave you the run around with multiple prompt options, none of which were to obtain a pin. Calling the local health department was just as big of a joke as none of the 3 people I spoke to, including a nurse on call, knew of a pin that I needed to report a case. What's the point of a tracking app if it's this difficult to report when you've had a positive test? Uninstalled this useless app!"
1,2,gp:AOqpTOGHgRR_pHi4I21IsHvnAycNkx1j8kMRJWvRj6tUc338AJyOpTXfUmNJT8HIYuM8IQOGhUr1NrUhiOYiU_A,1,2021-01-11 14:51:29,"Terrible design. I opened it, shows the last time it was checked was November 24th. Uninstalled and reinstalled still the same thing this time no last check showing. Find no way to check stats or anything."
2,3,gp:AOqpTOHQO-ELHRhG1rzS2eRzi54pX1wFTL-eBtqrRh5mZRuIuZtS7q9bGEDMUIOrJBEvAJ123A0d9ipLctUUOwg,1,2020-12-28 21:38:11,What a joke. To report your positive test it says that the Health Department will contact every positive person and give you a code. Its been over 3 weeks since my positive test and no call from anyone. So how is it suppose to let people know if they have been exposed. Another waste of time by the state.
3,4,gp:AOqpTOHdLOupXjp4LhNofFnZSCGokLRsb2CE1a-mMORdcrPhM2HzjNQLMbUCMt2Ww8OA38_q-xBwZiL3kuvdWdE,1,2020-12-15 14:26:10,"I'm positive and can't record it. I've had my rapid results for 5 days and send out results for 3 days, but can't report anything without a code from the health department. Makes the app completely pointless. Update 12/15: I never got any call from the health department, so never got a PIN. The app specifically says they will call. If resources weren't available to keep up with issuing PINs, the app shouldn't have been released."
4,5,gp:AOqpTOE1BUeFAYE3rmQ5B7NvEx-8er5loyMS9ULg-KoC2uQLpVzrOuKHW-xKo9bphXWNYhweCSwOle-TcCrvL3s,1,2021-01-05 13:49:21,"It's not updating. Last exposure update was 12/24/20 and by 01/03/2021 the ""No exposure"" update was still on 12/24/20. Makes no sense to keep an app on my phone that is not keeping me posted of exposures."
5,6,gp:AOqpTOEu3yBLuniKvb0yiucIgxlAmBNkCXxxslqiMzv-RE11PUMsMqAK4iAnptto65e3NQdt19Jz2wee0yB2njk,4,2020-12-16 14:05:53,"For the first ten days I had this installed Exposures were checked 2 - 3 times each day. As of this review, the last time Exposures were checked was four days ago. I've verified all settings on the phone as directed by the app. I've force stopped and restarted the app. Nothing seems to get it to begin checking exposures again. If not checking for exposures, what is the purpose of the app? Update:. Oddly shortly after posting the above, the app started updating exposures at least twice daily."
6,7,gp:AOqpTOE_YZahjVaY1DaqkqAGhDioWP9qutkF-Ki9i4jGgS3M7mNoNK42qd3mzUWIK2OplSZUizVZ9nlRglZw5-I,4,2020-11-12 05:36:48,"I wish the information was more well organized and the map was more informative. It would be great if the map showed the amount of cases by city instead of county, more recent info, and the map on a different section of the app because I thought for a minute that there was no map, there is its just not super informative. I'd also like to see a leaderboard of what city's have the most cases and have testing areas on the map. Otherwise it's a good start in the right direction for michigan :)"
7,8,gp:AOqpTOG2isBwj2zYrWgVzBV4tr8z-uX7gGH-UwnbiCenCufAh5_mvVA_Aw7SZWbH95zpPy3tduS6NsgjkalvKIQ,3,2021-01-09 03:23:32,My app last exposure check was Dec 30 2020. I have my location and Bluetooth on. Not working..
8,9,gp:AOqpTOFdoCwBIjqNEX-jwxfdMJp4SD7GYLNTA_rfVLVHjJl02oRW9SIaUrARTMys6ClnzQ9adgn5Ii2Ftw7oVtI,5,2020-12-10 08:13:52,"All negative reviews seem to speak about the lack of participation by the public. Instead of rating the app poorly, how about we take a moment to engage our family and friends, educate them about this app, and encourage them to use it. It will never be perfect but it is the best contact tracing solution available at this time."
9,10,gp:AOqpTOEeH1yphUApAUf0uG-Yqs7KsPKISa_Po0iecOTG83BVaSxmAC0rVvym4T0oF1dmysx6s18FiRN0kDZa13o,1,2020-11-30 13:15:52,"The app is useless unless everyone who has a positive test submits their result. It's very unrealistic to expect compliance to that level. Interesting concept but completely irrelevant based on inconsistencies in reporting. If someone didn't realize these flaws it also could create a false sense of security. State of Michigan- In response to your answer, that is exactly the point I was trying to make. If everyone is not using the app what information are you really going to get from it?"
10,11,gp:AOqpTOGQMOBbvlNghcgJ8Q8Ym74se7HC-7m7OQ784OCwo9RmcMwAKrB3rrC15saXY_HW88ze8GEotScR9JnulhE,1,2020-12-05 07:35:15,"I love the idea and the fact that it uses low battery bluetooth to function. I KNOW it isn't working though, because I work with Covid patients in a major metro area hospital and I haven't had one single exposure according to this app, while my phone is on my person 24/7. I realize all my patients might not have this app, but if anyone should be getting an exposure notification, should be me. Gives public false sense of security. Privacy be dammed gov't should mandate this type of tracking."
11,12,gp:AOqpTOFljBkQYGa-XU7Y2j6i3Yl-T5YFCGnbEPhBcFaFxkL657kXVBPjCXA7qhceyRTcI3wg2kXdX1BbkrN_BsM,2,2020-12-04 14:34:03,"Seems like a good idea, I'm not in a major city and don't work around large amounts of people so not sure how effective it will be for me. One thing it did I don't get since it says it uses bluetooth and won't ask for GPS, is it required me to have my GPS on to receive notifications! ""Exposure notification inactive"" this is what it tells me unless my GPS is on. ""To use turn on location."""
12,13,gp:AOqpTOF6zAj6Q0f1vh55_KSULYTxBWoSr5B_86zlF3QRHMAGDxh3Bm6v9G2-UyyQesBCn0h1-Suwv-TBB_FU4W8,5,2020-11-13 16:45:27,"Great info, easy to use. My only suggestion is to reduce the size of the text box on the Stats page regarding Johns Hopkins along with the logo. It takes up too much of the screen on my Android mobile device. I can only use 40% of the screen for scrolling the stats."
