,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOFxdGv1bEXouWPbQB52ihBcMjWvi_suXV4x8HidkIdWv-lVP1TruohN9SbRJFKwugO3tKAXUgvk7grQ-m0,5,2021-01-11 18:26:48,Download and use! Do not optimize battery usage! Lock to run in background! App works fine and well. Many people do not understand how it works. It's not magic; it works when someone tests positive AND THEN actually submits their special code in the app. Many of the low ratings are because of dumb only. It can't sense aunt Suzie's viral load from across the room. Both parties need to be running the app!
1,2,gp:AOqpTOERxTTvSeb6hqBMQxSDssCxxvd2ZR3FiPqCioNv0-cwI3LdVpM5iwdmmgM3ne23LXovXYdSvm-t1r8ESPQ,1,2021-01-04 14:49:20,"Does not work. My whole family downloaded this app. I saw my in-laws about two weeks before Christmas for about 30 minutes. A few days later my mother in law tested positive for COVID, then my father in law did too. They both reported it in the app. Of course I did not need the app to tell me I was exposed, but I had a known exposure and spent time within about 10 feet of my in laws (with a mask on), and I did not receive any notification from the app that I had been exposed. Ineffective."
2,3,gp:AOqpTOEzA2e-p150OEirFS9TunUECf6oAGqAIc6NmPpFyTyj8PSf38ukqrEy6heLzyHt4YfeYRJmToCp1_FMc74,3,2020-12-26 23:36:33,"Seems like a great idea, but the makers didn't think about this fully before releasing it. It sends a push notification everytime it checks to see if your exposed, without any way of changing it to only alert if potentially exposed. It just went off at 01:30 (in the morning) and all it was doing was checking, which isn't cool. Also, you actually have to add your test results, so someone who's positive still might be considered negative on the app. I'd give 5 stars otherwise."
3,4,gp:AOqpTOEUaAeGoKDDl81JlyHyp4PUgqW-s4dDQt0fUeWtjK0-YwgJtl_ct_2JXQnptB7QuYC4XBMssEQtl0aXOQo,1,2020-11-28 10:27:39,"This app is a great idea, however, it is not flexible enough to be practical. I did the setup when I got the app. I then turned off my Bluetooth and location. I don't need them on in the house. Went for a walk today, so I turned on mobile data, GPS, and bluetoothand thought the app was working. Nope. You have to redo setup every time you turn off those services. Makes the app useless."
4,5,gp:AOqpTOHP_jGWKhel7KC8v4ZIHdCuTrWR4_4FttqGOlVrMaBO75pzcAjF43QGmFoM_OSYfFWKbORCvOX9u9O3T4U,2,2020-12-26 04:51:11,"I think this app is fine. However I live in a boarder area MN WI, and WI also has a tracking app. I can only use one at a time, not both. For me this is a problem. Isn't there a way you can create them to work at the same time and give people like me better coverage?"
5,6,gp:AOqpTOGvXhXKe6BxL_sA25A7ztPviq1j7ujw7F5KhYAQHZPoF-FjsM03EYKRzD6L5gneYU6N0T-H6kNpQKhizQ0,2,2020-12-26 12:37:47,"Very poorly engineered. The fact that there is only one notification category is a problem in-and-of itself. That my downloads list is full of exposure check files is another. Other reviews complain about requiring completely new setup every time a needed service is disabled and re-enabled. Overall, the functionality is important, but I cannot endorse the engineering effort here."
6,7,gp:AOqpTOHQSpUXEqsk7n0I00N_ZtFFUqC8Jd82CNtmWNpevT5EJZsiSVR6A0tm54HUgpgszg3zLm35dDrWsHah0yI,2,2020-12-29 17:19:23,So I got a positive test; the app REFUSES my code saying that theres an error or that something went wrong i deleted the app; redownloaded it; cleared the cache and nothing works but the MDH wanted me to download the app.
7,8,gp:AOqpTOHKf8bsSFIuaNx9Vcy66piXbnD1D_JPo1FDX1JcUxYybm6qpVczCS8TlIXq764Mj99mj4G8snMQwh8Owis,5,2020-12-02 04:50:57,"I think my greatest annoyance with this app is that it briefly pops up a notification once in a while (once every 6 or 12 hours?) saying that it's checking for exposures. But since it's immediately dismissed, I'm sometimes left wondering what just caused my phone to buzz. It might be better to move that to a dedicated log screen. It's good to know that the app is doing something, but that doesn't feel like the right way to show it. At least disable the vibration."
8,9,gp:AOqpTOF3p9Pf6QXW1unpMC2eEpKy-HeMYKWiH4dLBndEZRkAlhbQLJdF23xLOHoA4dtnmxpxXTAp-FJ6Oml1_4E,5,2020-11-23 16:18:33,"For those who are ""afraid"" of this app because location is turned on: Location has to be on because length of exposure is THE requirement of getting a notification. Passing by a device doesn't meet the criteria for exposure; you have to be within 6 feet of the other device for a period of time to trigger a notification. Also, you control what each app on your phone is able to do with the location setting within that app. Either yes, only when in use, or deny...it's not about ""fear""."
9,10,gp:AOqpTOGRzMyF83y9woFD6r7RKHL9ipg064Cuz5y3-YdD4TpIc6NXeXdxi0m1ZoimWDK8pVqiI1gXqB5bJPTp_EA,2,2020-12-17 16:21:17,"Marketing the launch, this listing, and info via the app itself could use improvements. User is instructed most explicitly in receiving notifications, and not the other major function - reporting. Please include in how-to and link in more places to the FAQ where this entire part is even touched on. Why does the app say ""Verify your diagnosis""? You literally already have your diagnosis from your doctor. Why not ""send"" or ""report""? Thanks"
