,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOHq9E-BmK1qsU1YfjwPM6IBVeFYFM1Xw11FBPm_WMqhX3Fk_FRoQbwMb08tGStdn-bXoi4vL7wPC6x-Ag,2,2020-12-25 21:15:07,"Absolutely useless if you don't have a specific 8 digit code to confirm the test results. The lab my husband got tested at used code numbers longer than 8 digits. When his test came back positive, there was no way to report it to this app. I don't know if this app is limited to NV Health dept tests or what."
1,2,gp:AOqpTOFCGvfFqbtLSPKYFzpdvMiv6EGNEH2f5W5D9c455KvZ4afyGrAzv6d2IJ0OgczXH2fq4hwVgmgDxIhYjA,2,2020-12-24 11:14:33,"I now understand why I never got an alert even though I live in a hotspot. I tested positive and tried to notify, but it requires a diagnosis code that is never given. There is no workaround, so no way it can be activated."
2,3,gp:AOqpTOFlcy0Opn31V6EqL6aOvtv2N6PHRgaD_azGQKp0Ygr3o7f6WROfjCMOMtHFO1tjnIht4W6w_jiw5egngQ,1,2020-12-15 14:25:51,"I've been carrying this around for 3 months and to date NO NOTIFICATION that I've come close to Covid. Then I caught the coronavirus and it was EXTREMELY DIFFICULT to report a covid positive. You have to have a verification code to report your covid diagnosis and the clinics have NO CLUE on how to give you the code. I had to call the Nevada State DHHS and thankfully a really nice guy called back and gave me a code, and my roommate a code too BUT the app STILL isn't reporting Covid encounters!!"
3,4,gp:AOqpTOEKF4atgr-rEXMn6-2_LcfaVp2nWXoi8jjqe1o5pcWj_5VofdZI5rho-QLzxKRHYf2kWPmUcudD00PTFQ,1,2020-12-26 00:43:12,"When I downloaded the App I assumed it would notify me of exposures. It never did. The App does not update and no matter where I go store, mall, movies, etc it doesn't connect or work. There is a serious flaw."
4,5,gp:AOqpTOGwH2sOqlj8uj4OUgeBWMQ3C-P5S3a1YWqqWQp14f3uBS54Ol8PliPdhpw9S84DxaN7gjL_XgDQc0D51Q,3,2021-01-06 10:15:25,I wanted to alert people about possible exposure to Covid as soon as I recieved my positive results but was unable to due to the verification code requirement. I called all over the place and sent out emails and got no closer ro alerting people until 6 days after my positive test when the Washoe County Health department called for contact tracing and gave me the code. So it appears that the app works but you probably won't be notified about exposures for about a week after someone tests positive
5,6,gp:AOqpTOF_-QDhzTqvFoP-uiFrI_WSBLAkrgMur-wpVK4SWirVEZv1RAKxfHEjMvdqpcUDWagm18b0LLZhv_pZzw,1,2020-12-16 14:13:26,"12-16-20 update: Uninstalled, waited a few days, reinstalled and the App still does not refresh.... App does not allow you to refresh, uninstalled and reinstalled and still does not refresh."
6,7,gp:AOqpTOHMCOch5f92Yc30hGm8qrQOLYcMWG4AlToAMAELhvYe0oU8d4woCfNifQZ0J2OHXDhuFoJQOh8b-x43kQ,1,2020-12-10 17:23:39,Opened app after a few weeks of not looking at it. States exposure notification is off and click here. Clicked and it took me to the Google services page... why have the app if there's not going to be any notifications?
7,8,gp:AOqpTOHRuGT_lTprV3NzBhkzukKHpE722esPUnUfLmfi8tTVGJIk411Y4aJ7WaF8lQ0NsysWKvwQTe5FYazTYw,1,2020-12-16 12:46:13,"The verification code sent by the SNHD was 7 digits, the app requires an 8 digit code. Could not upload the verification number because it was not recognized as valid. Useless app."
8,9,gp:AOqpTOG44Tm_HFiwLjx7guKq3rNqPV992bkSRnxtJh5ICPcAJJyXbETL5rW07-LWpHTOTHG_o92tuNkYrOR96A,5,2020-11-20 06:23:25,Doesn't appear to work. Last checked time is the time of day of when I installed it several weeks ago. Manual refresh doesn't do anything.
9,10,gp:AOqpTOFHlgZ1CHViWXf62w9mS-POaGU_DLAQZTmI8tSK6dFhu0EzRslK9EDco7vkb6XpJ42NboP9k7INqDhd4g,4,2020-12-17 02:00:41,"It's great, just more people need to get the app to make it even better and more effective. Only 50k downloads. Nevada as a population of over 3 million. So less than 2% of the population have the app... We need to share it with family & friends, and our local news needs to promote it."
10,11,gp:AOqpTOGfX1b774U_NhynWxt1s747PFb66LdNl-VmWSeG2l3jz30iPKmoPwtjM5ED9-Q53qgZ0XCpVn1McL2xyA,2,2020-12-01 21:58:48,"I feel this is just to make profit when you download this app, i downloaded few weeks back a week later some one closed to me came out positive to the virus and i didn't get the alert i have known people that have use this app but seems noone gets an alert"
11,12,gp:AOqpTOGpTP4f1U3Sy4QzSmMjLGIeGyxFdNAn1eDvkrINJUDgh5N3yPFPo4iaoIhVv41kyQTfnddNiXhrm6ohBw,5,2020-12-01 16:00:52,Works great as long as you have your Bluetooth is on.
12,13,gp:AOqpTOFIBxJE8JMxj-9MdTTahERQwgbByCVa87Nw-rttxlUFxmhiT9UCkM4SAFsEC5hprgtAuFEyj_UprxseWw,5,2020-12-19 10:47:28,"I love the idea. It doesn't interfere with anything on my device, either."
13,14,gp:AOqpTOFj7QzuF7VHjh2PWr8Ofv4JkKjgbwuARw6xj_NOOaH-uhHIgIEVB2jSqnlWWOBduq9BTKklgSPzZ6jJ8A,1,2020-12-01 13:12:38,I've installed this twice and both times it is tracking for Nevada with no way to change the location. I live in Washington State.
14,15,gp:AOqpTOGpQoBbhJwMLxLnCdUdKnEjkBB1DD2HA2onm7kCKls6J0PfLNkqlh0B-tueRY1nK6sWN5Lw5UzhBdCbjg,1,2020-12-18 11:49:57,"It requires a Verification Code to report you are Positive. The UMCconnect has no idea how to give me a Verification code after they told me I am positive. The app is useless, you can't report you have Covid. It was another huge Democrat money wasting pork belly project"
15,16,gp:AOqpTOFOkoKXwc_696OvQ_jdIGjQi9JYRxtu5b3sEihFUegYiSokOVetg_5g4S_f8NheySJwC5E6FY4kAWNxew,1,2020-12-12 16:46:56,Dosent work. I got covid and woke up dead yesterday. Can't believe I trusted an app to tell me if I was exposed to the flu. App was definitely created by a Biden voting Democrat. 🙁
16,17,gp:AOqpTOEdCy2kInWWx1D7iGsNiqaVA1KzEQ4N71cCS0M1abvGRrJvzZXWvte1cdnvQenGIXJpJNczjhPmPcHNsg,2,2020-11-15 19:27:04,"Downloaded the app about two weeks ago worked fine, I assume the first couple days. Now it will never reload information (it has a little time last updated at the top) it's been stuck at the same time no matter what I do. I like the idea of this but it's basically an app that is a website with tracking permissions. All the clickable stuff in the app just take you to a webpage through your internet app."
17,18,gp:AOqpTOHozEQakXdx2pdIg3exO2ezHERsRPn0SZJpkaOH2qYCY-DlbrWnLSJnRtxEONR1ILskbR1F2hFQLJXHJA,3,2020-11-13 08:08:05,"""Reload"" Ineffective It's 08:00, and I have been out in public for an hour, but it last checked exposures at 3:15 yesterday. I do not normally leave Bluetooth on, so I have been turning off my Bluetooth at bedtime at night, and back on in the morning. Today I turned it back on before 06:00, and have tried to ""reload"" but it still won't re-check. I saw some others with the same issue; maybe it's Android, maybe it's Bluetooth but doesn't seem to work well."
18,19,gp:AOqpTOHDHMrMvxPrSJpLmFzPAW-rvbsa2EZToxIXSdqZ6EaObXJMJ9rLojTJD4KP_98C2XFQb32PMhNBbDo58A,3,2020-10-25 10:30:48,"Update: Its fixed. I hope people use this as a great tool to assist 7s in fighting COVID-19. The app will not let me go beyond the 3rd page. It doesnt work. My bluetooth and location are on. The ""exposure notification"" will not let me turn it on as it says ""I need to finish setting up the app"" others instructions say the ""exposure notification"" must be on to finish the app. ????? I am stuck in a loop."
19,20,gp:AOqpTOHXCXsRnXpmzO8wHFq1rwnU3jySCjsrg4ks2BhVkmd_M31std2XmQ8yN9SK2XYgiVJBhChRQIEjwjvw-w,1,2020-10-23 21:19:16,"Requires bluetooth to be on to work correctly. Not bad, but not great either. Also has not updated since 10:54pm which is when I downloaded the app 2days ago. So did it work while I was out shopping? Can't tell. Good concept but the final product seems to be glitched."
20,21,gp:AOqpTOER22GNQTK7Aq0e14ScMNvQZxfKF27acxQvd-hLFwGXC8xG3BwwdEt5DXOK7atgsTV20vJ7X9udAA6QNA,1,2020-10-31 08:46:37,"Never updates. There is a sync button, but it doesn't work. It literally stays stuck at the same time as when I first downloaded the app. Not sure how effective this can be if the app never syncs. Perhaps with a fix to this, the app would be solid."
21,22,gp:AOqpTOEHCUqF-KcM0rFrmITsi-Jvnfq8FpqsY9JZj0RySKm8_HoBs-bxeWCEBVguPelGGLsD6VXNWIw0xzOTRQ,1,2020-12-05 19:05:10,"App doesn't ask for any permissions and you can't enable them, therefore there is no way this works. What a joke."
22,23,gp:AOqpTOHVH08lOUqsBh7ihE76aoOvvnkGPjrGQ0HKGCyBu4zqXS4gzuTtpZ5yaCelDmecej8kRvJCyZD11_m74A,5,2021-01-09 11:29:53,Safe and fast good for elderly And frontliners protections
23,24,gp:AOqpTOGqNG_TwgjFKeEsMqZBkmDjuoTmYBvMJLFEGux1-sqrGZ5kJA6WxO__uqqYvxCrih7Cj2vCrh55uG3hsA,1,2020-10-30 11:58:00,"Ineffective. Good idea but it does not update. Says last updated 2:19pm (at 11:30am) and won't do anything when I hit the refresh icon, does not even show the date that it updated, only the time. Not helpful if it does not trace anything or update at all. Uninstalling."
24,25,gp:AOqpTOHkA_7eHkpMVtSbdgyMckadx_qOTOczUdM8Z8BG7_kgjOl2qbsB1i85tnbr8F-FXEw1tGU9s7VL6paVXA,1,2021-01-05 23:18:41,I thought this app would help keep me and my family safe. It was a lie. I hate you Google because now my grandmother is dying from Covid-19 and you never alerted any of us about exposure to anyone! How many alerts did you even send out? Let's see them change your name from Google to grandmother and grandpa killer
25,26,gp:AOqpTOE0EddK80I9DfxxUbIlSKGMPDWPmJdzbnn8GVm8MQrwDFEvuCyfN0qhkelJm7ElMR2QGpY7Zlk4vTyX7A,1,2020-11-28 23:43:55,There is no way to add a location if you forgot to turn GPS on. Because I don't normally have it sucking the battery dry when I'm at home. Should be able to manually add locations with at least estimated times.
26,27,gp:AOqpTOFkJqU1XnRX3frxr0qQ_firJ7XNysDH9HCRmyDR00Pd8vTkBQSkE-U-2VQcbYRUCJ1hc76gkuVwENlRzQ,1,2020-11-16 01:11:49,"""it's just an app"", they said. ""Just turn on your Bluetooth"", they said. ""It's just to help the public be proactive"", they said. Let's just give the government the easy access to more areas of our lives. ""No cash here, only credit or debit"", they said. No anonymity anymore. Before you know it, we will all have barcodes printed on our foreheads you mindless dweebs."
