,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOEmbTasGCRc6YyMKElVM-gjVwTUuId-Haq8TmofwGBT56KD3SONlMqbTa_TtkgDmcRMIkE1tcSTguKYf2c,3,2021-01-05 15:25:46,"This app needs improvement. When you get an exposure alert it doesn't tell you the date of exposure, just that it was within the past 14 days. So you could already be out of the quarantine period or only need to test and isolate for a few days. Giving the date of exposure seems important."
1,2,gp:AOqpTOGGXYFBBwfpGJjT3Ix-f6JRQjc03u6JQl8l2Yijb40xFxd8oiakqIS-9W6_j-b_rZn4BPcFg7j6ba2HYfU,4,2020-11-16 09:56:28,I think the app is great. Very informative. It's all in one spot. You do not have to have bluetooth on all the time. You can switch it on when you would like to use it then switch it back off. Without bluetooth you are still able to access and use all of the other features like covids daily numbers local/global/etc and also you are able to check in with how you are feeling and report symptoms..just another tool in the fight against covid.
2,3,gp:AOqpTOGwGg2MZdAjjI25dIQFHEKBTzCgYOFSdBBKRcoC1QlsK0FwuLeL-GS79IIb83MJSI4xqkOmUj0WGl_ugB8,1,2021-01-01 13:32:23,"I tested positive yesterday, but there is no way to tell the app. I can only report symptoms. Apparently I need a 6 digit code from some health department to let the app know I was positive. So until I get that code nobody who was in proximity to me will get a notification and will therefore keep spreading the 'rona."
3,4,gp:AOqpTOHG4tNs3tuL16wh5rc1myc-kBGxCZ7poh8179ZgD1D13WKSMykLwEtc1SopKGhDjm4WShlS3DDBDAYIY70,1,2020-12-25 22:40:54,"Absolutely worthless. Contracted covid from a person that contracted covid while in hospital. The contact tracer was not able to get the 6 digit code I needed for the app. Also Drs are refusing to test likely positive people. There's no way to use the app as intended without a test or a code, don't bother with the invasion of privacy."
4,5,gp:AOqpTOEiImtzdn9ZFbQiarCUvFGT-myw1NErzQDxHmV26__mzkoaYUHEYTEi1JHomwu3X50gpRS0R_nB8RIOt_k,1,2020-11-03 21:12:09,Work in an emergency room and downloaded to see how accurate the alerts would be. I assumed I would have to turn off the notification from being alerted to much. To my surprise I haven't been alerted once in over a month of having the app even after being in direct patient care with positive cases.
5,6,gp:AOqpTOHasEta_c-GAcZbkOoNdGJ-11QpeFyl7sXMedSo4GGmU2IONv6-qhMPMUpflR0ritB1RL7nXCY0enF22as,3,2020-11-17 19:34:50,Works ONLY: #1. If an infected person ALSO has the APP and you both have Bluetooth &. Location turned on. And #2. You come within 6 Feet for more than 10 minutes of an infected person AND #3 The infected person AGREES to allow the Tracers to access the app code information. What code? When your phone meets another phone ( see #1) a code is sent via bluetooth to both phones. The app remembers the code info. The tracer simply activates that code to send you an alert. Good for crowds etc.
6,7,gp:AOqpTOH9fqoy1if_7yJbw--mALHAucTjEfqwC4w66CGg0aj_bU5ejLWw0hVD5F6czlnR6x1aO9pqMGgIrbw-MZ8,1,2020-12-22 05:24:30,"Your ""ENABLE EXPOSURE ALERT"" button has not worked since its launch. Gone into settings > exposure alert > enable and NOTHING. Have an Android phone but know of iPhone users with the same problem. Located in Morris County, NJ. PLEASE FIX THIS!!"
7,8,gp:AOqpTOEsn-8tArjqmRXUTZrx4fTQKde0lAiEX-cjsBaFnkDXwHsp4UlNlL5uuMgeZ5pg8xLEFS-_KB45s5KiG1w,3,2020-10-29 15:00:14,"During setup I realized that it requires both GPS and Bluetooth to be engaged. If I do this with my phone, it would die in 4 hours. I'm an emergency service personnel, I can't go with a dead phone all day. Sorry. Good idea but won't work for me."
8,9,gp:AOqpTOFIMB3JDw7il42tcjdbayV1EbkR6mK_jMTvik7ETK1CYfSd1AjBtDbhTuPd_IdiLee83HlPNfk3HIQSS0o,5,2020-12-24 20:38:20,I feel like if more people used this app it could help in lowering the cases in NJ. So the app senses if you come in contact with somebody that has covid. I have not ever been contacted so I'm not really sure if enough ppl are using the app or if I have been really lucky. Im pretty sure more people need to have the app in order for it to make a difference.
9,10,gp:AOqpTOHg-6nHBTK5Px_GVG1Swk04vbqhsbUc6srOZs3TTpV5hiqqQEW4Wn9-nj8mR1Iz1BIq12P5BcyD0Pcikkw,2,2020-11-13 12:08:54,I am not leaving my Bluetooth on everywhere I go which isn't far but this will take a long time to get enough peoples info and get them on board before you can do that! Ifmt feels intrusive as well. Never leave your Bluetooth on unless you know what your hooked up to.
10,11,gp:AOqpTOEoXipe61LaZBKx4fVGuPqVEkObcbXESoNHsguE5RTwbfcf5M1a04g3ZMV2VQGrYWTcCyT67VsLP9l7sMg,1,2020-11-17 05:16:13,Not very useful.: 1. You must have and utilize a smart phone 2. You must have it activated 3. You must report your status daily 4. You must be in close contact with an infected person for too long and they must have reported they have symptons 5. Will it be compatable with apps from other states
11,12,gp:AOqpTOE3FRIe6xYu7pGbhLUJnYxvGpg-iaUWC-hErqi_e4rdl3Cnqmo2KU527AtpVRrnr8a6xbdcyt8g-yBu7h8,1,2020-10-29 03:40:32,Cannot even finish setup poor development. Simple alert app should not be inconvenient to use if it is most people won't go through the headache of setting it up. This fix should be top priority. Poor development something like this should be more easily usable.
12,13,gp:AOqpTOF1nXSxWkE_jm-zye-BTADmR8FpLPx6Qt0rgGUJShIdsnFDiJ7c5aL3UfB9e5OZzBD0QjEUggtEjTadvgI,1,2020-10-16 04:37:04,Graphs of the data are basically useless without the ability to filter on the last 30 days. The data from March-April dominates the plotted ranges which makes it difficult to determine the actual covid cases and deaths that are occurring now.
13,14,gp:AOqpTOGqULsUP4zdCt3dBT2HAb7RfgaylXxgRwvd4KgdinWzcqrZrsl8cqXTv11-x54bntUq629SDAgicLcXWpg,1,2020-12-21 12:53:27,Not very helpful. I've NEVER been alerted of being or coming into contact with someone whose known to have covid19. This app is just an invasion of my privacy!
14,15,gp:AOqpTOHuztKutJA6aji7Lt5pqayzyTPsUJfKySNvUKL3zWlNNET93TARbkliVmzor4MCn8Gx3jsNZwDCZ9Kvz7A,5,2020-11-26 10:37:27,"Great Health Emergency APP! My family and I downloaded immediately without hesitation! The DOH & our Governor want to save our lives! It's so easy to use and informative! You can simply set up a reminder and it only takes 15 seconds to check in! I truly believe if more NJ peeps downloaded this easy tool & join the fight, it could save lives & give additional information to our caring DOH department!! ❤"
15,16,gp:AOqpTOEi3T7k91hTmBXCW0JeN61p7immhlBl_SWhtX1R5UpvbzLZ6AEtCL9F_xbQByIi7Qfzgs8oTgi0_5kMieo,1,2020-10-20 21:01:42,"I get to the getting started screen and my phone freezes and then says app isn't responding. I've tried on WiFi, ice tried with WiFi off. Same result each time."
16,17,gp:AOqpTOGrF0j-_NZNZvr-jLyZQecayiu6JJpjnE2Od-OVi__Lhh6gGldoI5YHmBZE3BhRBmeNm6ex5fFjEUs-iUY,5,2020-10-05 13:30:00,"Installed with zero issues on an Pixel 4a running Android 11. After setting up the app, my COVID-19 Exposure Notification API (in the Google settings) updated to finally change to On. This means this application is ACTUALLY using the Google and Apple official API package. So excited to be part of the solution, not part of the problem."
17,18,gp:AOqpTOFuAqc7PoeCm1nD4LYvz_mV-fbCzRtZVZ-GD-qdrheWy3aSWfbEai-Fcu2F63sO3eRrejL7XZ1fZCCsrZk,3,2020-10-11 19:27:49,"I understand needing location for the alerts but why would it need bluetooth? Modern day dependence on wireless devices destroys battery life as it is. I keep my Bluetooth, location and few other settings off unless I need to use them. Again, I understand location, but why bluetooth. *Anyone that doesn't know keep bluetooth wifi and nfc off unless you need it to keep yourself safe from hackers."
