,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOH17KQ0ULzpN79Co5glLPre1thrwEHcswnzRZisC0mOgwz-W4i_1ISgiKaNrhkBmYW7os_LgWNzLrkGil4,5,2021-01-09 14:26:30,12/26 I got an alert that someone was close to me for a prolonged time with Covid. The worst part was getting tested which seemed like it was more difficult then it needed to be and finding a testing cite was annoying and Imo this is a PUBLIC health crisis and ALL testing should be free. I had to go to a place and pay for a test. I was satisfied with this app because I was warned! So for that I'm happy. I was able to be proactive. I was negative in the end so this worked at least for me.
1,2,gp:AOqpTOGwpVwekUwIBepc5L8OPHvlMvlxXGIus3atE71EE3UEa99CmAKzPT_4SID-dQxJUlDPIUreYEKYwefaMU8,3,2020-12-15 15:34:53,"Just tested positive. Tried to send a notification to all codes I've come into contact with and app requires 6 digit code from a contact tracer. 1. So I'm going to sit here not being able to notify anyone until a contact tracer calls me? A day can mean the difference between life and death. 2. Give us the option to edit our symptoms today. I usually do it in the morning but developed a symptom this afternoon but it was too late, I had already submitted for the day."
2,3,gp:AOqpTOHEufRc1ubpPMIX16-LjhtU33DXDN27e7WGjuoSJFuBcujh-4-fYPhjiDx3rdDtjswyBLdUEW88RqH2wHg,3,2020-12-09 13:08:36,I understand privacy but for this app to truly work.... work related we make house calls but ask a series of questions before we enter the home. They can easily lie and say no. It be nice that the GPS (Location) when on and at a house can notify you of a positive person in that household or residence or a location address. That information is out there vs relaying on someone else phone and hoping they have the app to talk.
3,4,gp:AOqpTOG8TdS-esB6yk5rgO9hDfAZfTzjOV8Rxm8pJGU0qRzPVe09aHp3q_VyzZg4L7XcHew0S-UKo-c3FAwmTi0,1,2020-12-15 18:10:55,"Says my Bluetooth is off, but it is on (following the link to settings changes nothing) and the only other option is to turn it off. I have no idea how this app works because I was under the impression it was working this whole time and can't turn Bluetooth on when it already is on. BT works fine for my headphones its weird that this app says its not on."
4,5,gp:AOqpTOGINigmqI0twGfs5rJqCyd4S-hXWnAdpIkdBCqTUiHtsic7_YNgNJFn2Gr9WbLIB9OoWDx9WZ5-imuCytE,3,2021-01-05 19:16:14,"All of these apps need to work together, not try to supercede each other. People who travel should not need to switch which app is doing sensing depending on which state they are in. If this is the fault of state health departments, they need to stop the bickering and all work together"
5,6,gp:AOqpTOH16CvDPcNuHcUO7WB2zYw8gdkfHnGC-Khjp-3cpVqIMxpeerxLoaZKfpndQsqX5LmqecPXiCsS588auzo,3,2021-01-01 08:15:03,"The closeness sensing won't work if your phone is in battery saver mode (at least with my phone). If your Bluetooth + location are both on and you're still getting errors, try turning off battery saver/power saving mode."
6,7,gp:AOqpTOG_bnXB8yJDMwi0uZArlEjithOjCRTbIj7pfLQiQN9sB1M2GUgutcH19MalPOQw6HETlUutQ3urRbGRtp4,3,2020-12-03 17:53:10,"Could be more useful and informative. Details related to current current zone level and useful misc subjects should be added. User provided information to include self reporting of testing, type of testing, postive/false-positive/negative results, and self/state/organization/employer imposed quarantine. Application update/""whats new"" information needs to be detailed, rather than a general out of date blanket statement describing the application."
7,8,gp:AOqpTOHyh152pNssa9ZG4T83nVeQ0UmmWOD81YrQK84ag3vtiBwrTdUGiW8j7qqob0EUK-ZxaYNDDoFlcOQbVao,1,2020-12-26 09:45:12,"I give it 1 star and a thumb up, that's for all information you can find on this app. But I can't give more stars because the most important feature of this app is to let others know that you get tested for Covid, but it doesn't work! The code you are supposed to get from a Trace worker doesn't work, so the app can't (anonymously) send out important information and contact other people or their devices... (I reinstalled the app, turned of/on bluetooth, and tried multiple codes = nothing worked)"
8,9,gp:AOqpTOFOf_1Z0tNKvaDeU8UwsdZEEvClRESt2REtUIvCR45dJD17MxSeU-Y1Lo0tCaLfMN9IeTpeNEqK6MB364A,4,2020-12-23 12:07:41,"I wish there was a slot on the symptom list for noting seasonal allergic reactions. Also, I was directed to NYS alert app when I installed the covid one. That is annoying, be cause it alerts me to problems far from my home. I'll Soon delete it."
9,10,gp:AOqpTOEkDVBRFxh8ejrbI2l8ea8JZeuHtc6g7To_HtSDFaaF9vnu7Qj1y9r600K16sXlejKlCdsGr7qj77qHCNo,3,2021-01-05 17:02:53,"I will say, recently in our area we've had an outbreak. The app was scanning daily to see if anyone in the vicinity had reported symptoms. This will only work if everyone down loads this and enters symptoms or lack thereof often."
10,11,gp:AOqpTOFv1aAaBISLXPCj2VN3UurcR67Y1kAgrlc4Si6-Nw7IZ_73wNiv3pItB7stAbRGOYBAkJxYdcTC0RxiRmQ,1,2020-12-14 18:31:49,I been around people who had covid and they have this app and everything but not showed that people i was around had it. But i will say that i am lucky that i have got it yet. I have been around 6 people so far that had it or has it. Time to get rid of this app. I dont need to track hie many people have it in my county. Thats all this app is really good for is to see the status of the covid in your county.
11,12,gp:AOqpTOHjAIJ_Ot1fMwO7niLwCs_dNr55fAJWjTIfDnoc08Ody-dhKp6Z5yfYY6d6LI7NDUyqucSxPN3hI63_3Gs,2,2020-12-20 14:49:39,Lacking in functionality to inform users... Doesn't link outside the app to get additional up-to-date information and directives from government agencies.
12,13,gp:AOqpTOEoffajCRTQf7OYMyjDlLFyQgHuyinvVGE_7jVLblS6Qm7yRFxw6iDRUkFLQrWkHna9toYydbxMP544Ht8,1,2021-01-05 09:31:46,Does not work in conjunction with other covid apps. Must shut one off to use the other. Have NY and Connecticut. They will not work at the same time. Stupid!
13,14,gp:AOqpTOEElKnaWoYbDzWBuFn30f1m7IWsJicWmEAfsYX4VJOWju-5n_hcTUHwPToSq35EGbaPSZ1ay6NjQFilico,1,2020-12-20 01:09:49,"there is no way to notify anyone if you contract covid. the app instructs to enter a code provided by someone who will call if ur test is positive. nobody called, not even after i sent a note asking for help. its now been 10 days since my PCR lab report. whats the point of building and releasing this and asking people to use it if the data isnt ever going to be used for anything? im just going to uninstall it cos its just eats my battery for no public benefit."
14,15,gp:AOqpTOEvRQiFhIZK5DxK0CngenjoeCZ4O-eeZRB1kCINf3Md3sKo6r1ufplJuZk-UudcDvldq6LeHQSd6ob6h5U,1,2020-12-27 18:36:13,"Useless.. i work doing COVID testing have yet to have the application alert me of a contact, yet I see many people every day who have tested positive."
15,16,gp:AOqpTOHRm6w3tIyHUC9UiCifgTa4IJwiNGY9Rvv1SvuhosW72OseGSQRM0JpYMGm6nzIK6TizFel_90GjL9WL-E,1,2020-12-05 02:36:27,Was around someone who tested positive and was in a cluster area and get no alert. This app does not work. You all must be collection other information from my phone but it sure was not covid19 information
16,17,gp:AOqpTOHKa0GhRPKcj50Vk02FEfEojvjv39189cocqeDouoVsykbjgGW56TqiADyLh6tNLurawzjWz-jHdI-OZMc,3,2020-12-26 07:34:11,It's okay but I feel I get no notifications when I'm close to an area that is COVID popular region.
17,18,gp:AOqpTOE-16iPlgtz6C4AglELqV5MlGQe5t2v9XIVR5xq6b4qJrKGNprHZqRcrXbLyFJTlBdHyygkcrMQeQQQwT8,5,2021-01-03 11:27:38,I think this is a good start to keep yourself save and others try it. It's free and you don't lose nothing by trying.
18,19,gp:AOqpTOEhrvbKs0iPA9qcxWR1dr1pLk_0JaVzqFZshKI0TwFDpegpDjbuacuKrae2T6REb576liiE-zeAtkgcVpo,5,2020-12-19 05:06:09,Nothing to report so I guess that is good. When I go to check see what exposure checks it shows number of keys so for us geeks a detailed explanation of how it works would be nice.
19,20,gp:AOqpTOFhkR_RgeJbpa7WzmNG75tf7QtUKBkmXTeXPMEUhZI9IraV3jCmhrQzRqjbkTOva5UH4Lac7HSJM6NVvXs,1,2020-12-31 18:52:00,I installed this months ago. I have yet to get any notifications. I guess it's busted.
20,21,gp:AOqpTOH73JLSnXEjlP07qCMPNL2tYAMba0WaunvV01l8EaddXyhoIJtQFxOFJUPJ-Al8rsDCQqHhzyWSNHU0xA4,1,2020-12-15 17:55:52,Reported false positive exposure on day I quarantined at home alone all day. No option in app or hotline to report false exposure notice.
