,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOFdKwcRIYdm_r-HTM0ZevklexGT5jNfz9fEWn5Y_zbcuRdsNHvG_eXaEV_BLPKGC2f8iYMn1WPYX-DXzrU,1,2021-01-08 15:48:36,"This was a good idea with a big flaw. Getting a pin is not straight forward. Someone sick with Covid will not take the time to bother getting a pin. It should have been done like this... Sign up with the app with your cell phone number, you get Covid and the county health department should notify DHHS to send the exposure. This would have been easy to do using the cell phone number of the infected person. My wife had Covid and this app. She thought it updated using health department records."
1,2,gp:AOqpTOE6gq5LxUNtg6LPfY2Hq7Gp34nAaQytBpfOLGfNsEqC4ZgTTt93_aLJDVA0AL5TTWmZkv4W2IL8x0VHcpQ,1,2021-01-08 11:33:44,"An absolutely useless app. I tested positive for covid nearly a week ago but have yet to be able to get my PIN. Every time I call in they tell me it's going to be a few days. If you look at the reviews this seems to be the case, that they won't provide you the pin until weeks afterwards. So all in all, this app serves no purpose. What an absolute waste of taxpayer money."
2,3,gp:AOqpTOGutWxRWaYbgmg_L8k1dTYJgeKCMKo9ICjlowCR3Ic-RNRtHdmUdSjnlZnEWl1WSp57H_H7raNpJr_6248,2,2020-12-30 08:23:48,"While I love the idea powering this app actually acquiring a pin takes so long that the app becomes useless. I finally received my positive test result four days after showing symptoms and when I called in to get my pin, I was told that I would have to wait a few days and call in again. By the time I actually get my pin the incubation period for the people I may have had contact with will be over and they'll probably have symptoms before they even get any notice from the app."
3,4,gp:AOqpTOEapsdKCRmQp6ZNwTgjnDO2Xx48o8SaLPxvWGW1Hejp_qw-IBpGxoqBeTUMPpFVOdSUtnDdszA79nrAFmw,2,2021-01-08 11:43:07,"Not sure how effective this is unless there's greater usage than we are seeing now. I was at my docs office yesterday, and was 6 feet away from 2 people with positive tests. Not a thing's showing up on this program."
4,5,gp:AOqpTOGhLXHIxk5SBrD234JVnS_x3-IfB-AMyJeeiIpIXEqvqIBE6HhLX0xLeHqJ6MM2PhZB3mXico9sQti4c0Q,2,2021-01-09 12:11:34,"The idea of this app is great, but because of the way it's run it becomes useless. I have had the app for 2-3 months. I tested positive on Dec 29th, so I called to get the required number to alert the app. I was told that I would have to wait 48 hours, I called back and was told that I needed to call my health department and then call back the next day, I called back the next day and was told that my number was 'too new to use try again in 48 hours'. What's the point of using it now?"
5,6,gp:AOqpTOGF66jcj5Hr5A3BwUFWs3TabToaxyTeq1zFTww91C2lTjOlgMJ8QtLV8CwoN6YOOPAxVZxWvxMKSj0HyEU,2,2021-01-09 12:43:28,"Tho it shows option to choose metrics, they cannot be changed. Having to obtain (& wait for) a pin is an encumbrance & bottleneck as well. Will deter ppl from using the app. Have found this app to be of minimal utility, unfortunately."
6,7,gp:AOqpTOFVwTILCT0smiiKJ39dY9_Gcckb9VEOfR_HItzklOhe4ItbDphQ9xgngBCsRe1kJEtIuQB4i8ont2HqyVE,1,2021-01-07 17:28:39,"It's taking weeks to obtain a confirmation pin to share results which defeats the purpose of this whole thing. By the time people get their pins it's been over a week or longer in some cases, which at that point is too late. It's pointless to alert people if it's not immediate. Deleting the app because I'm not ok with tracking me for no purpose."
7,8,gp:AOqpTOFR2Cv4dIwx_Pat3xLOdjxhY4u8777NPb2CM_kYPoefaLyMM88ghL1hRDt_yE9dH9L361avSTU6gt7lRZs,1,2020-12-22 14:55:21,"There aren't enough people using this app for it to be really effective. Also, it doesn't check for exposures very often. A serious flaw in my eyes! It should be checking at least every 15 mins (refreshing) at the very least. It does not allow for exposure time check to be altered in Google. It was a good concept, bad design."
8,9,gp:AOqpTOEm8GBKqo6ifQoN6PWornNdhQuV8NHZNKasMzr6NSAFRTgRr3MsTtf9UtJ8OQ7eETywTR22fPmGvMQDsZc,3,2020-12-24 18:13:49,"I loved this app until it was updated; since then it has not worked at all. It automatically turned notifications off and wont allow them to be turned on again, and since I deleted it and tried to reinstall it, it has been stuck in a loop for the past 2 hours."
9,10,gp:AOqpTOFv6KmE2g6yry_Nk4_U8uaCeT0AHSfQzbnKYBzwK-KXIstlsJ6eZJopRptYi9K2oHRyflnlGrUhoYy4NaY,3,2020-12-29 14:56:26,"A few bugs, especially in the Data (last) option page. Give the option to search specific areas like zip code, but won't let you type in anything."
10,11,gp:AOqpTOGOqUXvMrDqz9RRHs_ylwle5W3C71-rBpT-jvJcS-nOLAXRUt6oDAxg-X2kIJqBpBJs6oY4yMVSBx5q_94,1,2021-01-02 00:04:24,Unable to obtain a Pin using the form due to always failing the CAPTCHA. I've tried being case sensitive and not case sensitive. It fails every time. I've tried this on Chrome and Firefox browsers
11,12,gp:AOqpTOE7HdqmM8FB15F-lFS4WYLH7DB9-0xo3rPe18BStnlbcnQNyNdqrHDCUm1L24Qll6VyYQdETuKLZF7qfOA,5,2020-12-25 08:29:14,"No issues with the app itself. As stated previously, relies on other people to use the app effectively though. During a public health crisis, even if you can't force people to install the app on their phones because they own them, then the company should be able to ban you from using their cell towers unless you install it."
