,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOFqdub4JCcF9zn0X0uSG8GF2OmZOycr1M2g-B640phcPwpBNeMqm5q7dOgsii9xi1pm1Md8an4szzbZuw,2,2020-12-23 11:53:01,"Since the last update they took off the daily death count. They only tell you the total death count up to the current date. Because of this the app doesn't exactly tell you the whole situation currently. In begining I actually liked the way app, but since of the many changes that isn't the case anymore. I feel as if they are trying to hide the real truth to the situation & that isn't a good thing at all."
1,2,gp:AOqpTOGsWy3SBc36Y6qVIlEh5WFnHNgO2zWiFn3enPw8gIpX_TmN5vcpy4ApWT4ugefAIjpiTRDg90zMDWVfGg,5,2020-12-18 12:00:03,Everyone should use this app. It's easy to use to check in your health symptoms. I have experienced no battery drain on my phone. The battery use is less then 1 minute today and only 0.1% of my total battery use since last charge. So far no exposure notifications and I hope it stays that way.
2,3,gp:AOqpTOF6Kxc9joZIdB8HbVs-99auyVWMKUZPU3WU9DnYaExtKhftu1OyLMEClVH2luKF7kTAbL-YJcPm7JyYPw,3,2021-01-11 05:21:29,It would be nice if there was a spot on the daily check in section of the app that had a CURRENT LOST OF SYMPTOMS. Just asking if you're okay or not doesn't help people to realize if they may have symptoms or not.
3,4,gp:AOqpTOE0Wk8fY8_G5o6K_D9AH-IQ7cpE7yZCKX3w8uJ8LkcTMJK5zVgSVsYlQA8-DrUlEPwk4QuNbwe0o-cJqw,1,2020-12-20 14:05:30,"Since I never received a call from the department of health when I tested positive to contact trace and give me the code to input in the app, this is a useless battery drainer."
4,5,gp:AOqpTOEs9gd3tZPcWiYNTtrP5DSDH8qRkqGMUuMmZjUcAxjgUz11VvLwPHZFDtnnrqZYxULSrEBeCwvgAOfeag,4,2020-12-03 04:11:18,"I like this App and think it's an excellent idea. My issue is that it requires bluetooth to run constantly and that really takes a toll on device battery life. If your phone dies or power is very low, you can't use the app. Try to make this more device resource friendly. I can imagine some devices losing power rather quickly as a result of keeping bluetooth on for long periods of time, and most people will use this when they are on the go and charging is limited. *Show check count - main page"
5,6,gp:AOqpTOF2gM7STPuQjto7m_TZVZgcueNtC92ch-5CGQ5F_8xNPlpH7pJMNvsCjq3WsA7ssofun7bVljwezlZTfw,1,2020-12-04 19:53:23,"The only advantage to this app is immediate information. However, I am not convinced that is accurate. I realize that this app relies on participants checking in..... but it seems extremely suspect... With the extremely rising cases in this county and with myself coming in to contact with 10 times the population of this county and I haven't been close to even one person with symptoms???? Very strange.using this app I need to keep my phone on charge because my phone only last 3 hours on standby."
6,7,gp:AOqpTOFgITqqiI5UX8KVE5HnsHbChMyfWQPsPzOmTkIQjm3bNf1AtZ79JKCZnZyH2hbR_C0h-Ko7FNzUTGcY-A,4,2020-12-04 19:28:35,"Simple and unobtrusive, though I worry about how effective it can really be, since it would only work best if everyone installs it, *and* if everyone honestly reports their conditions. Still, it's a good effort, and a great app! Just limited by having to try to trust others to do the right thing."
7,8,gp:AOqpTOFraxstdY9KoJVy1OIzOKbfLpmFLvhO_ZrXU46ktX3Ln-viZUqf-9xggXKqMgRDUXmqlsTHeorUyiANgw,1,2020-12-07 09:50:29,"Error code 104. I have tried multiple times to install and Uninstaller the app but each time I click continue on the 2nd screen for sharing data analytics, I keep getting ""sorry that didn't work properly. Error code 104. Please try again"""
8,9,gp:AOqpTOFQA0zUpAJBzJTqkMBGFa53lHcqVILtgJMxn1UTZvNERLM8s30mmEIwsUHmnsTxXTQHA8Su0tuyC7Y-5Q,3,2020-12-09 18:03:47,"I like the information but the numbers don't match up to what the state reports on the website or what the news reports. The app is saying that there were over 7,200 new cases yesterday but a news website is reporting over 8,700."
9,10,gp:AOqpTOGV1Yqgf2n4_hH0dYNX8CbC-8gg-ofoLMXS36ISpou4S8hK41THJE5yqvOrTVvXZkqmfGdGNODEmoCgWg,3,2021-01-07 21:20:15,"this isn't a reflective rating on this app; however, maybe this is proof on how well my VPN is working.. because i don't live in PA. does it even matter that i don't live in PA, if i was wanting to use the app? this raises another concern of mine. my VPN is on all the time, so how could this app, if i did set it up, know where I've been? does it all permission to bypass VPN settings? if not, how would it accurately know where I've been? or have i been mislead on what a VPN does?"
10,11,gp:AOqpTOFtY4OmYBUmD0lwEr6hgllEng_jspXg0HAQRbzUqw4GFQM_VZxDrTmXHMYu8bX2NRslID_vY8I_qpjtow,5,2020-12-12 18:11:21,"Easy to use. I like the county breakdowns. It should have a back button on the symptom checklist, though. The one day I missed checking a symptom on the first list page and couldn't go back from the second page to check it. I wish everyone was using this."
