,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOHmeKAiqPKcN9M30hJgoSjtkynGYA3fV-uirKKUbXc7L6aorafG9Ja1VdZmZJxDu5h39n6hfAHbsUVqE8o,1,2021-01-05 13:55:24,"Waste of space on my Phone. This app does not work like it is supposed to. My Wife and I contracted the virus and never did the app say we were in contact with anyone. Even when I go to report it, it says wait to contacted by the department of health, two weeks and nothing. So don't waste you time with this app and just follow the CDC guidelines to keep yourself safe."
1,2,gp:AOqpTOGXg23rh2CiVEgtJn6TuDDPLCKWeJsNslnDmTeI3CYxyi4tGFfeG2bIbubFWvkzZLLaStvE8fDv10eY9fw,1,2021-01-11 10:12:50,Notifications on this app depend on VDH calling you and giving you a pin number once you're confirmed positive. We had a positive in our house over 2 weeks ago and VDH never provided a pin and we were never able to notify using the app which makes this whole thing useless if it can't be quickly used.
2,3,gp:AOqpTOGIztgXN8Oi6QUQZJikhzNt-egolNwsOUQ39JrCgaRtVoQMd_Cxn4xw29VIotDD3uD3dQ1NN1_wBiXHaE4,1,2021-01-05 10:00:49,"Absolutely useless. You have to wait to receive a unique six digit PIN from the Virginia department of Health in order to report a positive covid test and prevent false reporting. But my provider said they don't get that pin, and the VDH phone call I got 3 days after I tested positive didn't have it either. So just delete it this app and be safe."
3,4,gp:AOqpTOFYC7Li2H9J94qFg9Dnf8RD7wqAkbFrvT-vdhAd0bTV6I5Jb59C-AzdoAPTii-cKnlryTwLxN5xBKL6s9Y,1,2020-12-11 12:13:51,"Worthless. The app requires a PIN number from the VDH to send alerts. They contacted me 4 days after my positive test result, but didn't have a valid PIN to give me. The contact tracer sent a request to IT to get me a PIN to send alerts. It has now been 8 days since I tested positive and 11 days since my first symptoms and I still can't warn others via the app. The app only monitors contacts for the last 14 days, so some people will never be warned."
4,5,gp:AOqpTOGvpqLiAAPzxH1syEC2OSREHUXsvkcfeTtv0R3n4iUodYqe80VrnSdx5TNwU_2GkzjxjYXUW2jIm-sn8xY,4,2021-01-06 22:15:35,"Fundamental problem: this app has almost no public outreach throughout Virginia, and apparently there is a faulty verification process for PATIENTS VOLUNTEERING POSITIVE RESULTS. As long as these issues remain, this app is mostly a failure. This is a critical PR issue that won't be fixed with improved app code"
5,6,gp:AOqpTOEJWlo9ggFZjt-QMm7qLBhFM7pQ_Xatr_cpHdK0MKqDRfXMZd4WYpOKkSpoLgDSRmtPpdeAhzzmVPg7lqE,1,2020-12-18 07:14:29,"Can't even upload my positive result because they claim the VDH contacts you to give you a PIN after you test positive. They definitely don't. I haven't been contacted at all. This app is useless, don't waste your time. It will give you a false sense of security thinking you haven't come into contact with anyone contagious when you probably have. Way to go VDH. Not helpful in preventing the spread of Covid at all."
6,7,gp:AOqpTOGz05RPXK4yaBW1Zv8mpPJBgdiajG3x_Oc43NEH7xiAqR3F53DoecGhromZEtjJle5Uot2TK46fweWn_-0,1,2020-12-28 18:31:45,"I've had this app on my phone for months. After I tested positive for Covid-19, I went to report a positive test. Couldn't even do it. What a real waste of potential in this system."
7,8,gp:AOqpTOFUNkcdQLgEff6jEwdVv4SrHYPzrTl0ZYEhwp1kXdz_wQA_u0AQT7_vNgcqeZt1E4TyTjE5r9UqsDsb1Mo,1,2021-01-02 08:53:45,"Got a positive result 7 days (updated) ago and need a PIN to enter and yet still haven't rec'd a call. Good idea, poor execution."
8,9,gp:AOqpTOGz9uRp23jJPKAPNhG_NeKzkKTjnoj0Yk8GFLpAND3T_hNAlyhnv2Ajf0fMq2MYuMFsuSL86jbvFS559xQ,4,2020-12-12 12:53:18,Great idea but can't be effective without significantly more participation. Literally need millions of users; 100k downloads falls way short. Not enough people take the situation seriously enough or just deny it completely.
9,10,gp:AOqpTOEHx6yz4YC_jcZ5jRM4_z5sv69qodBr0hxtEawZnCNQXo_ojolV9f5Rw5RSHEXTPM7yMJ2EGnFMkz28Ce0,5,2020-12-12 18:01:36,The app works as designed- it relies on user input. That said - only way ill know if someone in line behind me had covid.
