,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOGTgOfbbS7Ug5QvwbbkSYFV10-B1Xxkg2dJYtoJRBDoYp8VXEFjsQAgDyybdkt_5E0DNClfY4uQ7DY2YLo,2,2021-01-01 00:30:17,"Nice concept, but poor execution on letting the public know it is available, and letting them know how the app works and what safeguards are in place to protect their privacy. To many people think the app will share personal information, so are unwilling to download it. This is making the app unusable as it was designed to be used. If only one person out of a hundred has downloaded it and is using it, then what use is having it on your phone?"
1,2,gp:AOqpTOH1aRYU9oNQ8mtMmjFoaWOmeuLNl29W2abV7hkw5ey9Vq2nQBK6Dl0SSDsTSp00qI9WbOUiC8AI3ecJfHk,2,2021-01-06 06:09:14,The concept is fine but the fact that we are relying on someone who has the virus to input a code that no one seems to know about makes this app pretty useless. The last year has proven to us that we cannot rely on people to do the right thing so that makes this app double useless. This would have been far more useful if it kept the bluetooth device pinging but used every device's phone number and compared it against a database of known infected person's phone numbers.
2,3,gp:AOqpTOHCnJN_U3hUnfNSYxlPcsFTI_icWmom337W_zY0x3g7RrI21Ebz8pNwl1-PXFmlE1buEl1bs_qydDFakEk,1,2021-01-07 06:44:25,"Constantly alerts if you ever have gps or bluetooth off so if it ever tries to give me a virus alert, I won't notice it. Update: I don't care about data or battery. I turn things off because I don't want internet dog food ads for driving past a pet store and I only go out once a week for groceries; no guests."
3,4,gp:AOqpTOGeHe7Mg2yetoKxwLC5HuX5XJYF9rEO9W-3J9k9NPgJL2LhVSsBTHmbwi7Q7v7S0ob5SNp2EbAb5wywYqs,5,2021-01-01 20:30:16,"Too soon to tell but could be very useful. They need to have a share that you can choose which app store to refer people Apple or Google. This one just sends a Google link which is useless for my wife and daughter. Hopefully they will add this. The real key is getting enough people to use it in this paranoid, conspiracy following world. Thanks for the quick response and good luck!"
4,5,gp:AOqpTOFdeOMdWbKoL1VWEJamOrxcYCifTLzaWKFUIAplU6or_VXXAhstEmA0EGBpW6hW5F1tuWkmLPKr8mMHK-s,3,2020-12-29 18:18:41,"Just got this so too soon to rate, but I have a question. I am an urgent care provider testing patients for COVID so will definitely be in proximity to positive cases. I wish this app had a setting for when you are at work where exposures are protected and another for when you are away from work where exposures may be unprotected."
5,6,gp:AOqpTOHHIA83xPcqI7raXb9j00_2LGSUyS9zKrUj-PRnAJDmaXqECyL2LN22-hauo0DRL0oSFiP3CKKPb3g98Vg,3,2021-01-05 15:17:39,"Nobody knows how to get this code. When state officials reached out, they didn't even know what this app is and couldn't give me the code. UPDATE: the process is improving and I ended up getting the code. Changing from 1 to 4 stars. This app can save many lives."
6,7,gp:AOqpTOHzJ84y997Q7wn9CUyVwcZkzGkpvgP2YzVohT_OnV8ruZ5ontPKGT1JViJQdpwJ81frZPtDsRbjmL1pk74,2,2020-12-19 16:52:58,"App seems like it would be useful, but you need a verification code to give a positive result, and nobody knows how to get this code. My friend tested positive and I didn't receive any alert after being near her because she didn't get any info about a verification code, even when she asked about it. Being able to self report would make this much more useful."
7,8,gp:AOqpTOFaqjhqKM22idvm4wCagowQnKBRvpQ01KhZgk_a-wF_CjOdPADZ7guiwMcvgCVrNNoh4h3ZB0bQ4gcnrZg,1,2020-12-03 14:56:01,"Contact tracing should be great. App installs easily and is ""set it and forget it"" easy. Unfortunately you have to get a ""verification code"" in order to notify the system of a positive result (and thus notify those contacts that they've been exposed). The problem is NOBODY knows how to get a verification code to put in the app (I called and spoke with 2 of the largest county health departments, as well as the WA State DOH)! Pretty useless if it can't be used to notify others of an exposure!"
8,9,gp:AOqpTOGgDghyXZEB-Dd0yF0tkDtnJGh1JNPr9LVTI07gk2ETK4VkK0EOd8sYHCON6Q_tq4YgeelwTKfUGGIoxHw,2,2020-12-03 10:47:55,"Great idea, but the execution needs improvement. Bluetooth function must be on all the time to get accurate notification. My bluetooth drains my battery so that's not going to work. Why can't the app communicate within itself to identify if another user has been nearby and has received a positive test? Also, if a person has all the symptoms they should be able to self report. I appreciate the states making an effort but this needs to be on a national level for people who need to travel."
9,10,gp:AOqpTOFrVwoI8RmZSgH3CH6jfyh-LxyyZLsvqLA3iSyusBnT6P-YyswBWsvatjna4RVxaGsuNJfFqLqbKh4vj_Q,3,2020-12-02 21:55:26,"So far so good on this app, though it's a little worrysome that the app doesn't have any explicit permissions granted, nor does it ask for any, yet still seems to be able to access a wide swath of things on the device. This feels like a security concern for the device itself, as without permissions requests, it's impossible for users to determine when something changes in the application which widens its permission scope. That's a concern because it's one of the more common malware vectors."
