,User ID,URL,Stars,Date,Review
0,1,gp:AOqpTOFS6nKL3wd9ME3OZTR7qWPDAQnmZ2cpMqShISbZkA2j7PhyYOrTJwy8nlWJE9evAkuqM7veaE29ViYUhag,1,2020-12-21 11:48:07,I can go days without it logging any activity even though I have had a number of stops and it will not recognize that I have changed my home address. It would be nice if I could just completely reset & start over but it won't let me do that either. Rather useless if I have to remember to manually enter where I've been.
1,2,gp:AOqpTOEFluL1l7R5dNoonfPi7f6CjizG467iOFZIa9ItBonLzKjh-BJxpVMQ_ea84wJXjThmV31lYmZ5LmIinn0,1,2021-01-05 22:27:48,"Has not added a scan since December 15th. No updates available, so it's not that."
2,3,gp:AOqpTOFjOoOU13vMGuOWW9jFdS1dED8QVzlLUT5HVuznQJeVPJ0QU8-ODXoLapvpyv0Af8XQ2xM8oDHudt93rcQ,3,2020-12-10 05:20:51,"From what it says when you check it, it only has 2 exposure checks per day. I do not see how it can be at all accurate if it only checks twice a day??"
3,4,gp:AOqpTOGylAh-lj-Ug7y9IpK2YeLkF9kceXb9IOV_qUe4km4lpQQNz994h6ceo82glAS1J6pW5JwnGNGyCc2R3iA,1,2020-12-18 02:26:02,Does not work clicked after a million times in nothing it just stayed there
4,5,gp:AOqpTOFN5BvsgWfQvd1rsDuQLJBqwrO_wzjWMoTmEfQWztk6smRZuQzy_n9M343mL6gX51XyktryeNiylQfaBUc,1,2020-10-28 07:58:15,"App won't open past the second screen where you have to agree to the disclosure. When you click the ""I agree"" button, nothing happens. Fully updated Samsung Galaxy S9. App is worthless if it won't open."
5,6,gp:AOqpTOFnuiPq401H7YsCon4PQHOvleeD_PykBdZ6p7WTwbqFw-BP5Qp9HAWj9NHhZYDIzPV9Btiho8DbajdGC-E,5,2020-11-03 11:26:41,Not really sure how often it does a check but from what I see from the pictures it's suppose to check 2 hours or so and I will go hours between checks kind of disappointed in the app not going to know if I have been exposed if it don't check when it is suppose to
6,7,gp:AOqpTOE_J4BwLs7mto5-msmz4BPt94XM1b7o4OALi8y4uu7vr2i6zaSod-bHBgf1eJCS_cOB6ZLD7n4I2m0zya8,1,2020-10-06 07:32:34,I see my review got deleted. Here is my thoughts. I have to turn off and on wifi with bluetooth all the time for a chance for this app to work and log. Please allow the app to control Bluetooth and notify when it isnt truly working and option to turn on and off bluetooth automatically for it to work. Simple programing and still not working right.
7,8,gp:AOqpTOE-6G7PG_Mm6jN9e-oMYyrK-JF5-qc6k7UkuA5AHIHSMEMJHoqV6UqcvFLa5H_2XAICI4TO70aD1jkMybc,1,2020-10-21 00:20:23,I can't get passed the accept screen. When I push the button nothing happens . I am a college student and the only family member leaving my house so this is a very important part of staying safe. Any help? I'm using a Xiaomi Redmi Note 8 Pro and the most recent android patch.
8,9,gp:AOqpTOESL7ibgx3x_xPfO0nJrSVaHfADcuCdcBVU8OVMo2VgMrD-rG7FQEb2runcN50uuv4uX9at8gx07HjzgqE,1,2020-09-03 14:45:33,"Disappointed...was exposed to person on 22nd...who began symptoms on 24th, tested positive on 25th. I was notified by state as a close contact (within 48 hours of symptoms) and to quarantine 14 days. We both have the apps on phones and Bluetooth turned on. The positive person 'notify button' was not activated until 30th. I received zero notification from the app. Needs some work from what I experienced."
9,10,gp:AOqpTOHH_QUnF9_bMeQsVOl7UnA-aU6pgaE0jZQ4hQlbRWeZ8_YWYUPgaB8H_176xfokOyndAJ0brvfSF2cS_ks,1,2020-10-24 10:03:20,"This app will only be effective and useful if a large percentage of the population install and use it. It looks like only 10k people have downloaded the app. With a combined total of 1.3M people between ND and WY, that is less than %1, the install base is likely even less since people have probably uninstalled it."
